DisplayTime;FinishTime;SentenceSet;Sentence
1684704418014;1684704421385;0;1
1684704423948;1684704427069;0;4
1684704429526;1684704432336;0;2
1684704435369;1684704437758;0;0
1684704440829;1684704444174;0;3
1684704446002;1684704449530;0;5
1684704452569;1684704454992;0;8
1684704456912;1684704459671;0;7
1684704462473;1684704466345;0;6
1684704469369;1684704472619;0;9
