DisplayTime;FinishTime;SentenceSet;Sentence
1684534686318;1684534703476;0;6
1684534705763;1684534712745;0;0
1684534714931;1684534720183;0;5
1684534722340;1684534729630;0;3
1684534731696;1684534738303;0;1
1684534740378;1684534746864;0;9
1684534749860;1684534754585;0;7
1684534756331;1684534760650;0;8
1684534762855;1684534767617;0;2
1684534769471;1684534775662;0;4
