DisplayTime;FinishTime;SentenceSet;Sentence
1684184426892;1684184435021;0;0
1684184438008;1684184444859;0;1
1684184447601;1684184454074;0;8
1684184455801;1684184455910;0;9
1684184457896;1684184463885;0;2
1684184466083;1684184472224;0;5
1684184474980;1684184480491;0;4
1684184483079;1684184491948;0;7
1684184494812;1684184501392;0;3
1684184503501;1684184510027;0;6
