Letter,Direction,Eccentricity,Reaction Time (s),Stim Size
P,0,21,0,8
B,0,7,1.5083912999834865,8
B,2,0,0.7390173000167124,8
P,0,0,0.7960097000468522,6
E,0,21,0.533899299975019,6
E,0,14,0.5286288000061177,4
E,2,14,0.4438203999889083,6
P,2,0,0,4
B,2,7,0,4
B,2,21,0.9698560999822803,4
B,2,21,0.5192156999837607,4
B,0,7,0.4375376999960281,4
B,2,21,0.5659258999512531,8
B,0,14,0.6067449999973178,4
P,0,14,1.0758324000053108,8
P,2,14,0.73023640003521,6
E,0,7,0.6253264000406489,8
B,2,0,0,6
B,0,14,0.8733742999611422,6
P,2,0,0.6484132999903522,6
P,2,7,0.6905501000001095,6
E,0,0,0.6879671000060625,6
B,2,0,0,4
B,0,21,0.7908279999974184,4
P,2,21,0.6968724000034854,8
P,2,7,0.5383712999755517,4
B,0,21,0.796047100040596,4
B,2,7,1.3170990000362508,6
P,2,0,0.6713721000123769,6
E,0,14,0.68933730002027,8
B,0,7,0,6
B,2,21,1.1215944000286981,4
B,2,21,0.40682779997587204,6
P,2,21,0,6
E,0,14,0.7857765999506228,8
B,2,14,1.556879400042817,8
P,0,0,0.9622478000237606,8
E,2,0,0.5422981000156142,8
P,0,14,0,6
P,0,21,1.5010038000182249,4
P,0,21,0.7381181999808177,6
B,0,14,0,8
B,2,7,0.7437924999976531,4
E,0,0,0.7828467999934219,4
P,2,0,0.9149795999983326,6
B,2,7,0.8719508000067435,4
B,0,7,0.86798609996913,4
E,2,21,0.7234653999912553,8
E,2,14,0.7166833999799564,4
P,0,14,0.8170575000112876,8
B,0,21,1.1541853999951854,8
B,0,0,0.5615434999926947,8
B,0,21,1.4435331999557093,4
P,0,0,0.7127177000511438,8
P,2,14,0.9809523000149056,6
B,2,21,0,6
P,2,7,0.7679800000041723,8
P,2,0,0.5644139999640174,4
B,2,14,0.8303193000028841,6
B,2,14,0.6608316999627277,4
E,2,14,0.47013960004551336,8
P,0,14,0.9870602000155486,6
E,0,0,0.6461504999897443,8
E,0,0,0.5476728999637999,4
E,0,7,0.5896785000222735,6
P,0,7,0.6722931999829598,8
E,2,7,0.5932745999889448,4
E,0,0,0.545262300001923,6
E,2,7,0.451755799993407,8
B,0,21,0.9931281000026502,6
B,2,0,1.0188908000127412,8
P,0,21,0.9599411999806762,8
B,2,7,0.8752930999617092,8
P,2,14,1.4625324999797158,8
E,0,7,0.6263359999866225,4
B,0,21,0,8
P,2,7,0.727581100014504,6
E,0,7,0.6934821999748237,6
E,2,14,0.5872457000077702,8
B,2,14,0,4
P,0,14,1.0196003000019118,6
B,0,14,0.5208290999871679,6
B,0,0,0.4402815999928862,8
P,0,7,0.6668159000109881,8
P,0,0,0.8665876999730244,6
E,2,0,0.6654823000426404,8
B,2,0,0.7672946999664418,4
P,2,14,0.7884447000105865,4
B,2,21,0,8
B,2,7,0.63520309998421,8
B,2,21,0.41969609999796376,6
P,2,21,0.5644693999784067,4
P,0,14,0.5941639000084251,4
B,0,7,0.543059199990239,6
E,2,7,0.609418599982746,6
E,2,21,0.7012632000260055,4
E,0,7,0.4717909999890253,4
B,0,0,1.244318499986548,4
P,0,0,0.6251208999892697,4
E,0,14,0.5054230999667197,4
E,2,21,0.5314277000143193,6
B,2,0,0.7014240000280552,6
P,2,14,0.4648587999981828,8
B,0,7,0.5476959999650717,6
E,0,14,0.9548808999825269,4
P,2,0,0.8912942000315525,8
E,0,21,0.5020288999658078,6
B,2,0,1.069715699995868,4
E,0,0,0.6313070999458432,4
E,2,14,0.5138196999905631,6
E,0,0,0.4695116999791935,6
B,0,21,0.9487081000115722,4
P,0,7,0.8776790000265464,4
P,2,7,0.926706500002183,8
P,0,21,0.8032701999763958,6
P,0,7,0.6914080000133254,8
E,0,21,0.6434370999922976,8
P,2,21,0,8
E,2,14,0.6998090000124648,4
P,2,7,0.8582634000340477,6
P,0,21,0.8943372999783605,8
P,2,0,0.5099602999980561,4
B,2,7,0.6273634000099264,4
B,2,0,0.7128298999741673,6
B,2,0,0.5552671999903396,4
B,0,7,0.9417999999714084,6
P,2,21,0.7576561999740079,6
P,0,14,0.8265982000157237,6
B,0,14,0.6334611000493169,8
B,2,21,0.6243036999949254,6
B,0,21,0.5324051000061445,8
B,2,14,0.5375823000213131,4
B,2,21,0.3454708000062965,8
P,2,21,0.6995936000021175,8
