CorrectResponse,Size_deg_,Eccentricity_deg_,ReactionTime_ms_,Target,CPUUptime,UTCTime
420.69,8,0,10000,1,86596578,1677193834.89367
420.69,8,0,10000,2,86615609,1677193853.92067
420.69,8,0,10000,3,86629140,1677193867.45467
1,8,0,515.581299998681,2,86713000,1677193951.31706
1,4,0,485.068800011883,1,86738671,1677193976.9892
1,8,0,438.684699995443,1,86747500,1677193985.81619
1,2,0,453.887099993532,1,86790500,1677194028.81425
0,2,0,428.326199992094,3,86798843,1677194037.16024
1,4,0,417.364000004833,1,86816750,1677194055.06237
420.69,8,0,5000,4,86879703,1677194118.00648
420.69,8,0,5000,5,86887531,1677194125.83948
420.69,8,0,5000,6,86896078,1677194134.38148
1,8,0,661.709899996291,6,86998828,1677194237.14026
1,4,0,470.725300005521,4,87003250,1677194241.56726
1,2,0,454.711499999044,6,87011890,1677194250.19926
1,8,0,480.821100002155,6,87057406,1677194295.71439
1,2,0,421.126500001643,4,87070390,1677194308.69739
1,2,0,421.636199997389,4,87075125,1677194313.44139
0,4,0,360.146000003093,5,87079687,1677194317.99039
0,4,0,399.986799992272,6,87092500,1677194330.80629
1,4,0,474.204900001874,5,87096968,1677194335.27229
