CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity;LeftForward;RightForward;LeftPosition;RightPosition
1683585572949;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.018092, 0.034558, 0.999239);0.4907161;0.1208318;1.0;2.0;(0.035245, 0.039610, 0.998593);(-0.086496, 0.021985, 0.996010);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585572954;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.018450, 0.034227, 0.999244);0.4893289;0.1662266;1.1;2.0;(0.035505, 0.039614, 0.998584);(-0.086457, 0.021525, 0.996023);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585572959;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.018800, 0.033946, 0.999247);0.4877526;0.4167596;1.1;1.9;(0.035797, 0.039641, 0.998573);(-0.086425, 0.021056, 0.996036);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585572964;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.018868, 0.033756, 0.999252);0.4877697;0.4406431;1.1;1.9;(0.035736, 0.039678, 0.998573);(-0.086353, 0.020682, 0.996050);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585572969;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.018976, 0.033561, 0.999257);0.487713;0.5229363;1.1;1.9;(0.035708, 0.039696, 0.998574);(-0.086293, 0.020382, 0.996061);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585572974;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.018061, 0.033441, 0.999278);0.4900339;0.3013262;1.0;1.9;(0.035635, 0.039707, 0.998576);(-0.085901, 0.020825, 0.996086);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585572979;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.017333, 0.032995, 0.999305);0.4962591;0.221531;1.0;1.9;(0.035607, 0.039657, 0.998579);(-0.084249, 0.020499, 0.996234);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585572984;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.016537, 0.032301, 0.999341);0.5047396;0.1884793;0.9;1.9;(0.035602, 0.039476, 0.998586);(-0.082058, 0.020051, 0.996426);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585572989;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.015514, 0.031665, 0.999378);0.5147785;0.2061935;0.9;1.8;(0.035624, 0.039277, 0.998593);(-0.079563, 0.019673, 0.996636);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585572994;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.014104, 0.031040, 0.999419);0.5278193;0.399019;0.8;1.8;(0.035622, 0.039138, 0.998599);(-0.076393, 0.019064, 0.996896);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585572999;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.014482, 0.030881, 0.999418);0.5228929;0.2705889;0.8;1.8;(0.035621, 0.039071, 0.998601);(-0.077503, 0.018971, 0.996812);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573004;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.015054, 0.030816, 0.999412);0.5174032;0.2025999;0.9;1.8;(0.035629, 0.039031, 0.998603);(-0.078437, 0.018041, 0.996756);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573009;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.015182, 0.030629, 0.999416);0.5139416;0.1188261;0.9;1.8;(0.035615, 0.038997, 0.998604);(-0.079172, 0.017751, 0.996703);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573014;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.015590, 0.030213, 0.999422);0.5095299;0;0.9;1.7;(0.035791, 0.038777, 0.998607);(-0.079799, 0.016866, 0.996668);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573019;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.015931, 0.029697, 0.999432);0.5068315;0;0.9;1.7;(0.035923, 0.038452, 0.998615);(-0.080186, 0.016190, 0.996648);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573024;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.016396, 0.029324, 0.999436);0.504045;0;0.9;1.7;(0.036051, 0.038177, 0.998621);(-0.080610, 0.015575, 0.996624);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573029;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.016537, 0.029131, 0.999439);0.5025805;0;0.9;1.7;(0.036147, 0.037968, 0.998625);(-0.081084, 0.015888, 0.996581);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573034;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.017154, 0.028860, 0.999436);0.5006635;0;1.0;1.7;(0.036283, 0.037696, 0.998630);(-0.081376, 0.015483, 0.996563);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573039;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.017339, 0.028446, 0.999445);0.499973;0;1.0;1.6;(0.036426, 0.037280, 0.998641);(-0.081589, 0.015542, 0.996545);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573044;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.019051, 0.026706, 0.999462);0.4955681;0;1.1;1.5;(0.037607, 0.035320, 0.998668);(-0.081962, 0.014777, 0.996526);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573049;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.018973, 0.026857, 0.999459);0.4949999;0;1.1;1.5;(0.037484, 0.035534, 0.998665);(-0.082150, 0.014766, 0.996511);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573054;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.019308, 0.027188, 0.999444);0.4931856;0;1.1;1.6;(0.037384, 0.035842, 0.998658);(-0.082418, 0.014257, 0.996496);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573059;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.018688, 0.027562, 0.999445);0.4945769;0;1.1;1.6;(0.037307, 0.036131, 0.998650);(-0.082302, 0.014998, 0.996495);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573064;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.017940, 0.027599, 0.999458);0.4964318;0;1.0;1.6;(0.037236, 0.036255, 0.998649);(-0.081932, 0.015207, 0.996522);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573069;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.017404, 0.027953, 0.999458);0.4982643;0;1.0;1.6;(0.037340, 0.036767, 0.998626);(-0.081247, 0.015396, 0.996575);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573074;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.017603, 0.028418, 0.999441);0.496534;0;1.0;1.6;(0.037468, 0.037098, 0.998609);(-0.081518, 0.015622, 0.996549);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573079;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.017668, 0.028387, 0.999441);0.4963209;0;1.0;1.6;(0.037375, 0.037034, 0.998615);(-0.081750, 0.015790, 0.996528);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573084;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.017719, 0.028449, 0.999438);0.495986;0;1.0;1.6;(0.037294, 0.037069, 0.998617);(-0.081954, 0.015926, 0.996509);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573089;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.018019, 0.028607, 0.999428);0.4967928;0;1.0;1.6;(0.037574, 0.037132, 0.998604);(-0.081570, 0.016267, 0.996535);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573094;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.019146, 0.029510, 0.999381);0.4982406;0;1.1;1.7;(0.038464, 0.037194, 0.998568);(-0.082040, 0.021935, 0.996388);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573099;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.020652, 0.030938, 0.999308);0.4969236;0;1.2;1.8;(0.039626, 0.037304, 0.998518);(-0.082668, 0.029840, 0.996130);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573104;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.022062, 0.030869, 0.999280);0.4924575;0;1.3;1.8;(0.040836, 0.037330, 0.998468);(-0.082400, 0.028536, 0.996191);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573109;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.023784, 0.032162, 0.999200);0.4876019;0;1.4;1.8;(0.041946, 0.037335, 0.998422);(-0.083111, 0.035542, 0.995906);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573114;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.022359, 0.031648, 0.999249);0.4865886;0;1.3;1.8;(0.042368, 0.037087, 0.998414);(-0.082863, 0.033272, 0.996005);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573119;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.022125, 0.031523, 0.999258);0.4848346;0;1.3;1.8;(0.043362, 0.037108, 0.998370);(-0.082225, 0.031889, 0.996104);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573124;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.022732, 0.031174, 0.999255);0.4883862;0;1.3;1.8;(0.044373, 0.037166, 0.998324);(-0.080073, 0.029621, 0.996349);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573129;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.022686, 0.031111, 0.999259);0.4936694;0;1.3;1.8;(0.045060, 0.037274, 0.998289);(-0.077947, 0.028895, 0.996539);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573134;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.023371, 0.031131, 0.999242);0.4944944;0;1.3;1.8;(0.045706, 0.037381, 0.998255);(-0.077022, 0.028468, 0.996623);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573139;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.024083, 0.031094, 0.999226);0.4949114;0;1.4;1.8;(0.046508, 0.037450, 0.998216);(-0.076053, 0.028091, 0.996708);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573144;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.023212, 0.031309, 0.999240);0.505846;0;1.3;1.8;(0.047371, 0.037515, 0.998173);(-0.072543, 0.028274, 0.996965);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573149;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.022763, 0.031415, 0.999247);0.519751;0;1.3;1.8;(0.048191, 0.037674, 0.998127);(-0.068449, 0.028161, 0.997257);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573154;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.022498, 0.031700, 0.999244);0.5336888;0;1.3;1.8;(0.049198, 0.037742, 0.998076);(-0.064406, 0.028457, 0.997518);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573159;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.023580, 0.031904, 0.999213);0.5271109;0;1.4;1.8;(0.049929, 0.037902, 0.998033);(-0.065083, 0.028475, 0.997474);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573164;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.024502, 0.031813, 0.999194);0.5215142;0;1.4;1.8;(0.050565, 0.038086, 0.997994);(-0.065586, 0.028017, 0.997454);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573169;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.026072, 0.033333, 0.999104);0.5091724;0;1.5;1.9;(0.051469, 0.038195, 0.997944);(-0.068122, 0.032665, 0.997142);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573174;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.026284, 0.033807, 0.999083);0.5041266;0;1.5;1.9;(0.052189, 0.038223, 0.997906);(-0.068655, 0.033344, 0.997083);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573179;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.026410, 0.033718, 0.999082);0.5015683;0;1.5;1.9;(0.052713, 0.038196, 0.997879);(-0.068710, 0.032860, 0.997095);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573184;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.027430, 0.033463, 0.999064);0.5033386;0;1.6;1.9;(0.053148, 0.038197, 0.997856);(-0.067770, 0.032033, 0.997187);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573189;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.026468, 0.034405, 0.999057);0.5251977;0;1.5;2.0;(0.053487, 0.038222, 0.997837);(-0.062549, 0.033779, 0.997470);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573194;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.025836, 0.034766, 0.999062);0.546898;0;1.5;2.0;(0.053680, 0.038382, 0.997820);(-0.057760, 0.034012, 0.997751);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573199;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.025460, 0.035341, 0.999051);0.5811844;0;1.5;2.0;(0.053830, 0.038522, 0.997807);(-0.051079, 0.034755, 0.998090);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573204;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.026734, 0.035085, 0.999027);0.5707498;0;1.5;2.0;(0.053925, 0.038659, 0.997796);(-0.052751, 0.033158, 0.998057);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573209;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.026207, 0.035383, 0.999030);0.5944017;0;1.5;2.0;(0.053964, 0.038797, 0.997789);(-0.048461, 0.033351, 0.998268);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573214;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.025764, 0.035835, 0.999026);0.6209199;0;1.5;2.1;(0.053956, 0.038980, 0.997782);(-0.044100, 0.033749, 0.998457);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573219;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.025457, 0.036055, 0.999026);0.6407351;0;1.5;2.1;(0.053903, 0.039138, 0.997779);(-0.041101, 0.033850, 0.998581);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573224;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.025007, 0.035988, 0.999039);0.6425262;0;1.4;2.1;(0.053743, 0.039569, 0.997771);(-0.040890, 0.033412, 0.998605);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573229;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.024469, 0.036551, 0.999032);0.6603147;0;1.4;2.1;(0.053496, 0.040103, 0.997762);(-0.038533, 0.033688, 0.998689);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573234;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.024718, 0.038586, 0.998950);0.6219897;0;1.4;2.2;(0.053156, 0.040515, 0.997764);(-0.044949, 0.038006, 0.998266);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573239;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.024924, 0.040675, 0.998862);0.6025447;0;1.4;2.3;(0.052904, 0.040865, 0.997763);(-0.048356, 0.043554, 0.997880);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573244;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.025100, 0.042564, 0.998778);0.5916878;0;1.4;2.4;(0.052681, 0.041073, 0.997766);(-0.049809, 0.049522, 0.997530);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573249;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.024423, 0.044394, 0.998716);0.5842313;0;1.4;2.5;(0.052642, 0.041029, 0.997770);(-0.050313, 0.053634, 0.997292);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573254;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.023711, 0.043209, 0.998785);0.5900369;0;1.4;2.5;(0.052601, 0.040999, 0.997774);(-0.050100, 0.049909, 0.997496);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573259;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.023114, 0.042173, 0.998843);0.5936325;0;1.3;2.4;(0.052565, 0.041042, 0.997774);(-0.049934, 0.047029, 0.997645);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573264;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.022454, 0.042203, 0.998857);0.6009783;0;1.3;2.4;(0.052484, 0.041317, 0.997767);(-0.048861, 0.046346, 0.997730);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573269;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.021280, 0.041633, 0.998906);0.6059332;0;1.2;2.4;(0.052393, 0.041564, 0.997761);(-0.048262, 0.044897, 0.997825);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573274;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.020265, 0.041087, 0.998950);0.6109822;0;1.2;2.4;(0.052320, 0.041714, 0.997759);(-0.047563, 0.043991, 0.997899);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573279;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.019659, 0.041078, 0.998963);0.6224823;0;1.1;2.4;(0.052260, 0.041800, 0.997758);(-0.045792, 0.043810, 0.997990);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573284;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.019136, 0.041102, 0.998972);0.6337457;0;1.1;2.4;(0.052222, 0.041943, 0.997754);(-0.044100, 0.043662, 0.998073);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573289;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.018778, 0.041190, 0.998975);0.6501536;0;1.1;2.4;(0.052187, 0.042124, 0.997749);(-0.041718, 0.043550, 0.998180);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573294;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.018350, 0.041628, 0.998965);0.6481501;0;1.1;2.4;(0.052168, 0.042351, 0.997740);(-0.042027, 0.043759, 0.998158);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573299;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.019940, 0.041351, 0.998946);0.6346386;0;1.1;2.4;(0.052169, 0.042546, 0.997732);(-0.044010, 0.040655, 0.998204);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573304;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.020800, 0.041130, 0.998937);0.6245416;0;1.2;2.4;(0.052165, 0.042751, 0.997723);(-0.045146, 0.036087, 0.998328);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573309;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.021950, 0.040343, 0.998945);0.6163075;0;1.3;2.3;(0.052380, 0.041677, 0.997757);(-0.046395, 0.036265, 0.998265);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573314;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.022888, 0.040504, 0.998917);0.6071111;0;1.3;2.3;(0.052180, 0.041783, 0.997763);(-0.048173, 0.037122, 0.998149);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573319;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.023743, 0.040623, 0.998892);0.5892839;0;1.4;2.3;(0.051963, 0.041721, 0.997777);(-0.051505, 0.037951, 0.997951);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573324;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.022749, 0.040590, 0.998917);0.5959413;0;1.3;2.3;(0.051756, 0.041406, 0.997801);(-0.050608, 0.038429, 0.997979);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573329;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.022462, 0.040584, 0.998924);0.6013897;0;1.3;2.3;(0.052070, 0.041244, 0.997791);(-0.049390, 0.038692, 0.998030);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573334;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.022465, 0.040563, 0.998924);0.5969279;0;1.3;2.3;(0.052547, 0.040899, 0.997781);(-0.049700, 0.039011, 0.998002);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
