CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity;LeftForward;RightForward;LeftPosition;RightPosition
1683584991951;(-0.075595, 1.496188, -0.415551);(0.000000, 0.000000, 0.000000, 1.000000);(0.026219, 0.033393, 0.999098);0.8805232;0.7403449;1.5;1.9;(0.056131, 0.019177, 0.998239);(-0.003610, 0.047611, 0.998859);(-0.032, 0.000, 0.000);(0.032, 0.000, 0.000)
1683584991956;(-0.075595, 1.496188, -0.415551);(0.000000, 0.000000, 0.000000, 1.000000);(0.026111, 0.032851, 0.999119);0.8809256;0.7575089;1.5;1.9;(0.055891, 0.018530, 0.998265);(-0.003553, 0.047169, 0.998881);(-0.032, 0.000, 0.000);(0.032, 0.000, 0.000)
1683584991961;(-0.075595, 1.496188, -0.415551);(0.000000, 0.000000, 0.000000, 1.000000);(0.025892, 0.032459, 0.999138);0.87448;0.7517995;1.5;1.9;(0.055704, 0.017880, 0.998287);(-0.003816, 0.047014, 0.998887);(-0.032, 0.000, 0.000);(0.032, 0.000, 0.000)
1683584991966;(-0.075595, 1.496188, -0.415551);(0.000000, 0.000000, 0.000000, 1.000000);(0.025720, 0.032123, 0.999153);0.8680785;0.777101;1.5;1.8;(0.055577, 0.017295, 0.998305);(-0.004047, 0.046901, 0.998891);(-0.032, 0.000, 0.000);(0.032, 0.000, 0.000)
1683584991971;(-0.075595, 1.496188, -0.415551);(0.000000, 0.000000, 0.000000, 1.000000);(0.025556, 0.031894, 0.999165);0.8651164;0.7987062;1.5;1.8;(0.055444, 0.016962, 0.998318);(-0.004253, 0.046768, 0.998897);(-0.032, 0.000, 0.000);(0.032, 0.000, 0.000)
1683584991976;(-0.075595, 1.496188, -0.415551);(0.000000, 0.000000, 0.000000, 1.000000);(0.025457, 0.031673, 0.999174);0.860617;0.8149966;1.5;1.8;(0.055379, 0.016567, 0.998328);(-0.004398, 0.046702, 0.998899);(-0.032, 0.000, 0.000);(0.032, 0.000, 0.000)
1683584991981;(-0.075595, 1.496188, -0.415551);(0.000000, 0.000000, 0.000000, 1.000000);(0.025367, 0.031454, 0.999183);0.8560574;0.8410474;1.5;1.8;(0.055333, 0.016179, 0.998337);(-0.004546, 0.046634, 0.998902);(-0.032, 0.000, 0.000);(0.032, 0.000, 0.000)
1683584991986;(-0.075595, 1.496188, -0.415551);(0.000000, 0.000000, 0.000000, 1.000000);(0.025309, 0.031264, 0.999191);0.8508165;0.8757692;1.5;1.8;(0.055348, 0.015809, 0.998342);(-0.004693, 0.046601, 0.998903);(-0.032, 0.000, 0.000);(0.032, 0.000, 0.000)
1683584991991;(-0.075595, 1.496188, -0.415551);(0.000000, 0.000000, 0.000000, 1.000000);(0.025283, 0.031118, 0.999196);0.8470498;0.9083613;1.4;1.8;(0.055386, 0.015542, 0.998344);(-0.004793, 0.046563, 0.998904);(-0.032, 0.000, 0.000);(0.032, 0.000, 0.000)
1683584991996;(-0.075595, 1.496188, -0.415551);(0.000000, 0.000000, 0.000000, 1.000000);(0.025307, 0.030953, 0.999200);0.8426216;0.9105341;1.5;1.8;(0.055478, 0.015226, 0.998344);(-0.004845, 0.046531, 0.998905);(-0.032, 0.000, 0.000);(0.032, 0.000, 0.000)
