CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity;LeftForward;RightForward;LeftPosition;RightPosition
1683585854340;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001163, 0.041610, 0.999133);1.101369;1;-0.1;2.4;(0.029362, 0.041948, 0.998688);(-0.031811, 0.041257, 0.998642);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854345;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001203, 0.041620, 0.999133);1.104265;1;-0.1;2.4;(0.029223, 0.041940, 0.998693);(-0.031790, 0.041287, 0.998642);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854350;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001246, 0.041637, 0.999132);1.107709;1;-0.1;2.4;(0.029063, 0.041951, 0.998697);(-0.031761, 0.041309, 0.998642);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854355;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001277, 0.041667, 0.999131);1.111166;1;-0.1;2.4;(0.028918, 0.041994, 0.998699);(-0.031716, 0.041325, 0.998642);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854360;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001294, 0.041686, 0.999130);1.114865;1;-0.1;2.4;(0.028786, 0.042031, 0.998702);(-0.031646, 0.041321, 0.998645);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854365;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001324, 0.041710, 0.999129);1.118013;1;-0.1;2.4;(0.028657, 0.042066, 0.998704);(-0.031605, 0.041333, 0.998645);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854371;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001353, 0.041717, 0.999129);1.120925;1;-0.1;2.4;(0.028535, 0.042092, 0.998706);(-0.031569, 0.041321, 0.998647);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854376;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001383, 0.041728, 0.999128);1.123559;1;-0.1;2.4;(0.028424, 0.042112, 0.998709);(-0.031539, 0.041322, 0.998648);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854381;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001411, 0.041731, 0.999128);1.126582;1;-0.1;2.4;(0.028303, 0.042132, 0.998711);(-0.031498, 0.041308, 0.998650);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854386;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001460, 0.041713, 0.999129);1.129407;1;-0.1;2.4;(0.028165, 0.042120, 0.998716);(-0.031486, 0.041284, 0.998651);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
