CorrectResponse,Size_deg_,Eccentricity_deg_,ReactionTime_ms_,Target,CPUUptime,UTCTime
1,2,15,620.951199988136,2,81429984,1677188359.04641
1,2,-15,602.418999999296,2,81442453,1677188371.51422
1,2,15,512.360300006927,1,81455500,1677188384.55615
1,2,-30,738.241099996609,3,81471625,1677188400.68313
1,2,0,455.165800009505,1,81479625,1677188408.6863
1,2,-15,456.932800003793,2,81487953,1677188417.00976
1,2,0,450.187099992414,1,81492109,1677188421.1604
1,2,-30,685.53710000962,1,81538953,1677188468.01607
1,2,-15,620.415800000424,6,81655828,1677188584.88703
1,2,30,508.742000002181,6,81660593,1677188589.64771
1,2,30,499.772799998405,6,81664750,1677188593.80085
1,2,-30,583.652700003237,6,81672593,1677188601.65319
1,2,0,504.877499999944,6,81681031,1677188610.08385
1,2,30,597.778300009319,6,81685265,1677188614.32611
1,2,-30,481.520999990986,5,81698265,1677188627.3233
1,2,-15,542.156899999478,5,81701890,1677188630.95091
1,2,15,751.491600004025,4,81706484,1677188635.54946
1,2,15,557.52410000097,4,81723671,1677188652.7273
1,2,0,703.958300011815,5,81735984,1677188665.03682
1,2,30,520.084600004717,6,81766203,1677188695.26007
