Sentence,Direction,Reading Time (s),Eye Tracking Start Time (CPU Uptime)
I got a job as the new librarian. I like the smell of old books. It is very quiet inside. The hours are very flexible. I am being paid very well.,0,5.850623600068502,531835109
I want to become a doctor. I am applying to medical schools. The application is very long. I am feeling very tired. It is due in June.,0,4.4490845000837,531845250
The sky is cloudy and gray. The wind is blowing. It might rain today. I do not want to get wet. I should bring an umbrella.,0,4.545036099967547,531855812
"My family likes to eat pasta everyday. We will eat spaghetti for dinner. Yesterday, we ate lasagna. Tomorrow, we will eat ravioli. Italian food is our favorite.",0,6.167183700017631,531865781
I want to become a doctor. I am applying to medical schools. The application is very long. I am feeling very tired. It is due in June.,0,3.600724900024943,531876015
"My family likes to eat pasta everyday. We will eat spaghetti for dinner. Yesterday, we ate lasagna. Tomorrow, we will eat ravioli. Italian food is our favorite.",0,4.836809900007211,531886500
The sky is cloudy and gray. The wind is blowing. It might rain today. I do not want to get wet. I should bring an umbrella.,0,3.832629399956204,531896812
"My family likes to eat pasta everyday. We will eat spaghetti for dinner. Yesterday, we ate lasagna. Tomorrow, we will eat ravioli. Italian food is our favorite.",0,4.553919699974358,531907046
He used a knife to cut the turkey. She used a fork to eat the cake. The baby ate cranberry sauce. The dog bumped into the table. They used napkins to clean the mess.,0,5.772714800084941,531917000
I got a job as the new librarian. I like the smell of old books. It is very quiet inside. The hours are very flexible. I am being paid very well.,0,4.050430199946277,531927109
I got a job as the new librarian. I like the smell of old books. It is very quiet inside. The hours are very flexible. I am being paid very well.,0,3.82123700005468,531937593
He used a knife to cut the turkey. She used a fork to eat the cake. The baby ate cranberry sauce. The dog bumped into the table. They used napkins to clean the mess.,0,5.3129584999987856,531947875
The sky is cloudy and gray. The wind is blowing. It might rain today. I do not want to get wet. I should bring an umbrella.,0,3.350495300022885,531958125
The sky is cloudy and gray. The wind is blowing. It might rain today. I do not want to get wet. I should bring an umbrella.,0,3.3852923000231385,531968312
"There is a dictionary open on the table. I pick up the dictionary. The word ""gazebo"" is highlighted. I read the definition. It is a type of garden structure.",0,5.463386700022966,531978531
He used a knife to cut the turkey. She used a fork to eat the cake. The baby ate cranberry sauce. The dog bumped into the table. They used napkins to clean the mess.,0,5.273428399930708,531988375
I want to become a doctor. I am applying to medical schools. The application is very long. I am feeling very tired. It is due in June.,0,3.891893199994229,531998937
I wrote a letter to my grandmother. She lives in another country. She does not have a phone. She does have a mailbox. It is the only way to contact her.,0,5.76499070005957,532008828
I prefer ice cream over cake. Sally likes cake over ice cream. John likes cookies over both. Lisa likes cookie-flavored ice cream Justin does not like food that is sweet.,0,6.318211800069548,532019359
The nervous system is made of neurons. It connects our brain and body. The brain has many functions. The mind is very complex. We are still learning about it.,0,5.581151699996553,532029375
I prefer ice cream over cake. Sally likes cake over ice cream. John likes cookies over both. Lisa likes cookie-flavored ice cream Justin does not like food that is sweet.,0,6.090107900090516,532039625
I got a job as the new librarian. I like the smell of old books. It is very quiet inside. The hours are very flexible. I am being paid very well.,0,5.096323100035079,532049703
I wrote a letter to my grandmother. She lives in another country. She does not have a phone. She does have a mailbox. It is the only way to contact her.,0,5.548507599974982,532060078
I got a job as the new librarian. I like the smell of old books. It is very quiet inside. The hours are very flexible. I am being paid very well.,0,4.517571699921973,532070250
I wrote a letter to my grandmother. She lives in another country. She does not have a phone. She does have a mailbox. It is the only way to contact her.,0,5.06942389998585,532080437
The nervous system is made of neurons. It connects our brain and body. The brain has many functions. The mind is very complex. We are still learning about it.,0,5.895854800008237,532090656
"There is a dictionary open on the table. I pick up the dictionary. The word ""gazebo"" is highlighted. I read the definition. It is a type of garden structure.",0,4.914606399950571,532101187
I prefer ice cream over cake. Sally likes cake over ice cream. John likes cookies over both. Lisa likes cookie-flavored ice cream Justin does not like food that is sweet.,0,7.374544800026342,532111328
He used a knife to cut the turkey. She used a fork to eat the cake. The baby ate cranberry sauce. The dog bumped into the table. They used napkins to clean the mess.,0,7.383338800049387,532121281
"My family likes to eat pasta everyday. We will eat spaghetti for dinner. Yesterday, we ate lasagna. Tomorrow, we will eat ravioli. Italian food is our favorite.",0,4.867211099946871,532131375
I want to become a doctor. I am applying to medical schools. The application is very long. I am feeling very tired. It is due in June.,0,4.097598899970762,532141906
The nervous system is made of neurons. It connects our brain and body. The brain has many functions. The mind is very complex. We are still learning about it.,0,3.960879600024782,532152265
I wrote a letter to my grandmother. She lives in another country. She does not have a phone. She does have a mailbox. It is the only way to contact her.,0,3.3126055999891832,532162140
"There is a dictionary open on the table. I pick up the dictionary. The word ""gazebo"" is highlighted. I read the definition. It is a type of garden structure.",0,3.465218299999833,532172234
The sky is cloudy and gray. The wind is blowing. It might rain today. I do not want to get wet. I should bring an umbrella.,0,3.9606329000089318,532182843
I want to become a doctor. I am applying to medical schools. The application is very long. I am feeling very tired. It is due in June.,0,3.8254658000078052,532192890
He used a knife to cut the turkey. She used a fork to eat the cake. The baby ate cranberry sauce. The dog bumped into the table. They used napkins to clean the mess.,0,4.682947699911892,532203234
I prefer ice cream over cake. Sally likes cake over ice cream. John likes cookies over both. Lisa likes cookie-flavored ice cream Justin does not like food that is sweet.,0,5.294179500080645,532213515
I went to the movies yesterday. It was fun and exciting. I want to see the film again. I will bring my friends. We will eat popcorn together.,0,4.8640539000043646,532223390
"My family likes to eat pasta everyday. We will eat spaghetti for dinner. Yesterday, we ate lasagna. Tomorrow, we will eat ravioli. Italian food is our favorite.",0,4.8724786000093445,532233812
I went to the movies yesterday. It was fun and exciting. I want to see the film again. I will bring my friends. We will eat popcorn together.,0,3.347824199940078,532243750
I prefer ice cream over cake. Sally likes cake over ice cream. John likes cookies over both. Lisa likes cookie-flavored ice cream Justin does not like food that is sweet.,0,6.357353699975647,532254000
I went to the movies yesterday. It was fun and exciting. I want to see the film again. I will bring my friends. We will eat popcorn together.,0,4.311056100064889,532264359
"There is a dictionary open on the table. I pick up the dictionary. The word ""gazebo"" is highlighted. I read the definition. It is a type of garden structure.",0,5.056884399964474,532274812
The nervous system is made of neurons. It connects our brain and body. The brain has many functions. The mind is very complex. We are still learning about it.,0,5.432885900023393,532284984
"There is a dictionary open on the table. I pick up the dictionary. The word ""gazebo"" is highlighted. I read the definition. It is a type of garden structure.",0,3.775035100057721,532294859
