CorrectResponse,Size_deg_,Eccentricity_deg_,ReactionTime_ms_,Target,CPUUptime,UTCTime
1,4,-30,656.928599998006,2,80181718,1677187110.77598
1,8,-30,546.867599998601,2,80195062,1677187124.11812
1,4,-30,674.124099994893,2,80212265,1677187141.31814
1,2,-30,643.676899996004,4,80384703,1677187313.7542
1,2,-30,649.190599997761,4,80406093,1677187335.14886
1,2,-30,690.458600013168,5,80431953,1677187361.01436
1,2,-30,541.559300003806,4,80436296,1677187365.35543
1,8,-30,550.345100008068,4,80453156,1677187382.21036
1,8,-30,617.704200002132,6,80457453,1677187386.51067
1,4,-30,586.490099999006,4,80469625,1677187398.67784
1,8,-30,596.831100000069,6,80473500,1677187402.55608
1,4,-30,604.974600002985,6,80477312,1677187406.37124
