CorrectResponse,Size_deg_,Eccentricity_deg_,ReactionTime_ms_,Target,CPUUptime,UTCTime
1,4,-30,559.655999999828,2,2030953,1677109269.26824
1,2,-30,741.687900000139,1,2060687,1677109298.99276
1,4,-30,670.977900000176,2,2070406,1677109308.71076
1,8,-30,501.157699999945,1,2084187,1677109322.50076
1,4,-30,734.140699999822,6,2226375,1677109464.67861
0,2,-30,663.411600000396,4,2239968,1677109478.2856
1,8,-30,528.650399999984,5,2267375,1677109505.68663
1,2,-30,611.64569999975,6,2271625,1677109509.93964
1,2,-30,915.529600000278,6,2275656,1677109513.96764
1,2,-30,829.916900000095,4,2285953,1677109524.26163
1,4,-30,753.919199999851,4,2300046,1677109538.36037
1,8,-30,943.618400000028,5,2356328,1677109594.63679
1,8,-30,739.273999999947,5,2361187,1677109599.50479
