sep=;
CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity;LeftForward;RightForward;LeftPosition;RightPosition
1683584674128;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.015068, 0.037455, 0.999185);0.8875538;0;0.9;2.1;(0.028277, 0.028754, 0.999187);(-0.025220, 0.057071, 0.998052);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674133;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.016233, 0.038326, 0.999133);2;0;0.9;2.2;(0.028925, 0.028698, 0.999170);(-0.008489, 0.058957, 0.998224);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674138;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.017182, 0.039464, 0.999073);2;0;1.0;2.3;(0.029802, 0.028911, 0.999138);(0.003106, 0.059968, 0.998196);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674143;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.017635, 0.040751, 0.999014);2;0;1.0;2.3;(0.030332, 0.029066, 0.999117);(0.008968, 0.062005, 0.998036);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674148;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.019192, 0.042944, 0.998893);2;0;1.1;2.5;(0.034265, 0.029469, 0.998978);(0.013092, 0.064141, 0.997855);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674153;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.019058, 0.043446, 0.998874);2;0;1.1;2.5;(0.037041, 0.030309, 0.998854);(0.010975, 0.062300, 0.997997);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674158;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.020588, 0.044399, 0.998802);2;0;1.2;2.5;(0.039645, 0.030060, 0.998762);(0.013849, 0.063954, 0.997857);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674163;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.022296, 0.045341, 0.998723);2;0;1.3;2.6;(0.042427, 0.029898, 0.998652);(0.015373, 0.065500, 0.997734);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674168;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.022404, 0.045124, 0.998730);2;0;1.3;2.6;(0.042035, 0.030455, 0.998652);(0.013534, 0.063502, 0.997890);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674173;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.022398, 0.046239, 0.998679);2;0;1.3;2.7;(0.040017, 0.031115, 0.998714);(0.014507, 0.063884, 0.997852);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674178;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.021232, 0.045993, 0.998716);2;0;1.2;2.6;(0.038271, 0.031855, 0.998760);(0.008526, 0.062563, 0.998005);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674183;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.020709, 0.045994, 0.998727);2;0;1.2;2.6;(0.037048, 0.032791, 0.998775);(0.006057, 0.061765, 0.998072);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674188;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.020474, 0.047119, 0.998679);2;0;1.2;2.7;(0.036078, 0.033339, 0.998793);(0.006394, 0.062546, 0.998022);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674193;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.020210, 0.048331, 0.998627);2;0;1.2;2.8;(0.035484, 0.033864, 0.998796);(0.006215, 0.063643, 0.997953);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674198;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.019870, 0.049207, 0.998591);2;0;1.1;2.8;(0.034909, 0.034303, 0.998802);(0.005802, 0.064466, 0.997903);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674203;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.019491, 0.050383, 0.998540);2;0;1.1;2.9;(0.033947, 0.034657, 0.998823);(0.005922, 0.066272, 0.997784);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674208;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.019149, 0.051377, 0.998496);2;0;1.1;2.9;(0.032950, 0.035158, 0.998838);(0.006064, 0.067645, 0.997691);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674213;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.018378, 0.051252, 0.998517);2;0;1.1;2.9;(0.031880, 0.035755, 0.998852);(0.004435, 0.066821, 0.997755);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674218;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.017793, 0.050264, 0.998578);2;0;1.0;2.9;(0.030643, 0.036265, 0.998872);(0.000328, 0.065218, 0.997871);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674223;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.017422, 0.050113, 0.998592);2;0;1.0;2.9;(0.029443, 0.036773, 0.998890);(0.000733, 0.065224, 0.997870);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674228;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.017392, 0.049376, 0.998629);2;0;1.0;2.8;(0.028114, 0.037145, 0.998914);;(-0.030, 0.000, 0.000);(0.000, 0.000, 0.000)
1683584674233;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.017348, 0.048803, 0.998658);2;0;1.0;2.8;(0.026834, 0.037478, 0.998937);;(-0.030, 0.000, 0.000);(0.000, 0.000, 0.000)
1683584674238;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.014898, 0.049869, 0.998645);0.6043115;0;0.9;2.9;(0.025666, 0.037745, 0.998958);(-0.038065, 0.086090, 0.995560);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674243;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.013194, 0.049678, 0.998678);2;0;0.8;2.8;(0.024597, 0.038003, 0.998975);(-0.019262, 0.053787, 0.998367);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674248;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.013178, 0.050081, 0.998658);2;0;0.8;2.9;(0.023506, 0.038159, 0.998995);(0.002044, 0.065588, 0.997845);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674253;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.013135, 0.050443, 0.998641);2;0;0.8;2.9;(0.022413, 0.038258, 0.999017);(0.003093, 0.066004, 0.997815);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674258;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.013073, 0.050762, 0.998625);2;0;0.8;2.9;(0.021439, 0.038342, 0.999035);(0.003867, 0.066390, 0.997786);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674263;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.012610, 0.051001, 0.998619);2;0;0.7;2.9;(0.020650, 0.038415, 0.999049);(0.003573, 0.066615, 0.997772);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674268;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.012033, 0.050516, 0.998651);2;0;0.7;2.9;(0.019979, 0.038446, 0.999061);(0.002955, 0.065722, 0.997834);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674273;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.011567, 0.050165, 0.998674);2;0;0.7;2.9;(0.019374, 0.038442, 0.999073);(0.002567, 0.065244, 0.997866);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674278;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.009027, 0.049584, 0.998729);2;0;0.5;2.8;(0.018814, 0.038466, 0.999083);(-0.002762, 0.063096, 0.998004);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674283;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.008152, 0.049283, 0.998752);2;0;0.5;2.8;(0.018292, 0.038509, 0.999091);(-0.004020, 0.061215, 0.998117);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674288;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.007306, 0.048961, 0.998774);2;0;0.4;2.8;(0.017725, 0.038525, 0.999100);(-0.005129, 0.059504, 0.998215);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674293;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.007810, 0.048771, 0.998779);2;0;0.4;2.8;(0.018723, 0.038678, 0.999076);(-0.005045, 0.058351, 0.998283);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
