CorrectResponse,Size_deg_,Eccentricity_deg_,ReactionTime_ms_,Target,CPUUptime,UTCTime
1,2,30,843.091699989978,2,81726250,1677188964.56616
1,2,-30,634.522799995844,3,81730765,1677188969.07816
1,2,0,447.508100009523,1,81743953,1677188982.26498
1,2,15,583.86949999514,1,81751593,1677188989.89698
1,2,-30,569.920100006508,2,81756046,1677188994.35509
1,2,-15,491.709500009543,1,81760968,1677188999.27191
1,2,-15,624.321799998521,1,81774250,1677189012.56291
1,2,-15,470.535600001691,2,81787875,1677189026.18457
0,2,0,514.105800012127,3,81809140,1677189047.44705
1,2,15,485.565499995952,1,81813265,1677189051.57205
1,2,0,434.214500008617,3,81829437,1677189067.73966
1,2,15,587.145299996715,3,81838250,1677189076.56266
1,2,-30,497.631399990874,1,81842921,1677189081.22766
1,2,15,524.776200003922,4,81990828,1677189229.14283
1,2,30,543.358000006643,5,81994984,1677189233.29183
1,2,-30,542.821199993719,6,82003359,1677189241.67583
1,2,30,544.571399991051,5,82007734,1677189246.04183
1,2,-15,468.369500009809,5,82020671,1677189258.98383
1,2,0,332.429099999368,5,82055046,1677189293.35658
1,2,30,838.69250000536,6,82072140,1677189310.44558
1,2,0,503.958600002457,5,82080593,1677189318.89993
