Correct Response,Size (deg),Eccentricity (deg),Reaction Time (ms),Target
1,6,21,521.177600000025,3
1,8,-7,808.05990000014,2
0,6,14,-109,2
0,8,14,-109,3
0,4,21,-109,3
0,8,-14,-109,3
0,8,7,-109,2
0,4,14,-109,3
0,4,-0,-109,1
1,8,-0,441.626799999918,1
0,8,14,-109,3
1,6,21,594.232699999944,1
0,6,14,-109,3
1,4,-7,388.442100000171,1
0,4,7,-109,2
0,4,0,-109,2
1,8,-21,547.978999999865,1
1,6,7,306.115100000094,3
0,6,-14,-109,2
1,4,-7,516.639700000193,1
1,4,-14,411.401799999945,1
0,4,21,-109,2
1,4,14,590.406199999885,1
0,6,14,-109,3
0,6,-0,-109,3
0,8,-21,-109,2
1,4,-0,481.29929999997,1
0,8,7,-109,3
0,8,-14,-109,2
1,6,0,338.651499999893,1
1,4,-21,451.284299999921,3
1,4,14,523.308799999919,1
1,8,-7,432.00759999983,1
0,8,-14,-109,2
1,4,-14,431.58729999997,1
0,6,-7,-109,3
0,4,-21,-109,2
1,8,21,480.066900000034,1
0,6,-21,-109,2
1,4,-7,488.055899999987,1
0,8,21,-109,2
0,6,14,-109,3
0,8,-0,-109,3
1,4,-7,452.851200000092,1
0,8,7,-109,2
0,4,-14,-109,2
1,8,0,461.737399999871,1
0,6,-7,-109,3
0,4,14,-109,3
0,4,-14,-109,3
0,6,7,-109,2
0,8,-21,-109,3
1,8,21,640.703299999965,1
0,4,-0,-109,3
0,4,0,-109,3
0,4,14,-109,2
1,4,7,301.109299999931,3
0,6,-0,-109,3
0,8,14,-109,2
0,8,-14,-109,3
0,8,0,-109,3
0,8,0,-109,3
0,8,-7,-109,3
0,8,-7,-109,3
1,6,-0,515.646900000016,1
0,6,0,-109,2
0,4,7,-109,3
0,8,21,-109,2
0,8,7,-109,2
0,4,-0,-109,3
0,8,-0,-109,2
0,8,-21,-109,3
1,8,-21,563.864499999832,1
0,4,-14,-109,3
0,6,21,-109,3
0,8,7,-109,3
0,4,-21,-109,3
0,6,-14,-109,1
0,4,-7,-109,3
0,6,-7,-109,3
0,6,0,-109,2
0,4,-0,-109,3
1,6,-21,508.041000000199,1
0,4,21,-109,3
0,4,0,-109,3
0,6,0,-109,3
0,8,-7,-109,3
0,6,-7,-109,2
0,6,7,-109,3
0,6,7,-109,3
0,8,14,-109,2
0,8,0,-109,2
0,8,-0,-109,3
0,6,-14,-109,3
0,6,-7,-109,2
1,8,21,548.027999999855,1
0,6,-21,-109,2
1,8,0,892.14480000002,1
0,4,-21,-109,3
0,4,21,-109,3
1,6,-14,602.801500000092,1
0,6,-21,-109,2
1,4,7,473.192300000088,1
0,6,0,-109,3
0,6,21,-109,2
1,8,-0,996.692699999963,3
1,6,21,455.3677999999,3
0,6,-0,-109,2
1,4,21,657.899799999919,1
0,6,-0,-109,2
0,8,14,-109,3
0,8,-14,-109,2
0,6,7,-109,3
0,4,7,-109,3
0,4,0,-109,2
1,6,14,397.716500000039,1
0,4,-21,-109,3
0,4,0,-109,2
1,6,-21,613.742400000016,1
0,6,-14,-109,3
0,6,14,-109,2
0,8,14,-109,3
0,4,21,-109,3
0,8,-14,-109,3
0,8,7,-109,2
0,4,14,-109,3
1,4,-0,607.119200000094,1
0,8,14,-109,3
0,6,14,-109,3
0,4,7,-109,2
0,4,0,-109,2
0,6,-14,-109,2
