CueShowTime,ObjShowTime,ReactionTime,Scale,StimType,Guess,Correct
1683585861453,1683585862519,1683585864981,8,Face2,Face2,True
1683585865488,1683585866998,1683585869278,8,Face3,Face3,True
1683585869785,1683585871109,1683585872501,8,Face3,Face3,True
1683585873012,1683585874113,1683585874684,8,Face2,Face2,True
1683585875191,1683585876444,1683585877344,8,Face2,Face2,True
1683585877856,1683585878912,1683585879923,8,Face3,Face3,True
1683585880434,1683585881797,1683585882510,8,Face1,Face1,True
1683585883020,1683585884293,1683585884933,8,Face2,Face2,True
1683585885443,1683585886669,1683585887557,8,Face3,Face3,True
1683585888062,1683585889193,1683585889873,8,Face1,Face1,True
1683585890387,1683585891661,1683585892693,8,Face1,Face1,True
1683585893202,1683585894060,1683585894778,8,Face2,Face2,True
1683585895293,1683585896042,1683585896834,8,Face3,Face3,True
1683585897346,1683585898753,1683585899580,8,Face3,Face3,True
1683585900093,1683585901425,1683585902089,8,Face3,Face3,True
1683585902603,1683585904248,1683585905323,8,Face3,Face3,True
1683585905834,1683585906890,1683585907482,8,Face3,Face3,True
1683585907998,1683585909092,1683585909592,8,Face3,Face3,True
1683585910107,1683585911053,1683585911734,8,Face1,Face1,True
1683585912247,1683585913856,1683585914445,8,Face1,Face1,True
1683585914958,1683585916310,1683585916992,8,Face3,Face3,True
1683585917502,1683585918691,1683585919324,8,Face2,Face2,True
1683585919834,1683585920623,1683585921304,8,Face2,Face2,True
1683585921818,1683585922623,1683585923266,8,Face2,Face2,True
1683585923780,1683585924822,1683585925561,8,Face3,Face1,False
1683585926072,1683585927299,1683585928077,8,Face2,Face2,True
1683585928590,1683585929377,1683585930117,8,Face1,Face1,True
1683585930632,1683585931656,1683585932397,8,Face1,Face1,True
1683585932910,1683585933919,1683585934639,8,Face3,Face3,True
1683585935151,1683585936427,1683585937722,8,Face3,Face3,True
1683585938235,1683585939719,1683585940292,8,Face2,Face2,True
