CueShowTime,ObjShowTime,ReactionTime,Scale,StimType,Guess,Correct
1683584995733,1683584997449,1683584999667,8,Face3,Face3,True
1683585000171,1683585001128,1683585001716,8,Face3,Face3,True
1683585002218,1683585003740,1683585004329,8,Face3,Face3,True
1683585004839,1683585005729,1683585006153,8,Face3,Face3,True
1683585006658,1683585008117,1683585008834,8,Face2,Face2,True
1683585009347,1683585010730,1683585011188,8,Face2,Face2,True
1683585011700,1683585012902,1683585013250,8,Face3,Face2,False
1683585013763,1683585014676,1683585015380,8,Face1,Face1,True
1683585015891,1683585016966,1683585017629,8,Face3,Face3,True
1683585018142,1683585019352,1683585019844,8,Face2,Face2,True
1683585020355,1683585021773,1683585022453,8,Face3,Face3,True
1683585022965,1683585024348,1683585024972,8,Face3,Face3,True
1683585025483,1683585026650,1683585027235,8,Face2,Face2,True
1683585027744,1683585028550,1683585029136,8,Face3,Face3,True
1683585029644,1683585030698,1683585031344,8,Face2,Face2,True
1683585031852,1683585032928,1683585033517,8,Face3,Face3,True
1683585034029,1683585035265,1683585035854,8,Face3,Face3,True
1683585036363,1683585037765,1683585038427,8,Face1,Face1,True
1683585038937,1683585040431,1683585041037,8,Face3,Face3,True
1683585041547,1683585042405,1683585042978,8,Face3,Face3,True
1683585043486,1683585044509,1683585044918,8,Face3,Face3,True
1683585045427,1683585047035,1683585047731,8,Face1,Face1,True
1683585048245,1683585049609,1683585050182,8,Face3,Face3,True
1683585050688,1683585052328,1683585052788,8,Face3,Face3,True
1683585053297,1683585054120,1683585054487,8,Face3,Face3,True
1683585054998,1683585056473,1683585057044,8,Face2,Face2,True
1683585057556,1683585059265,1683585059874,8,Face1,Face1,True
1683585060382,1683585061659,1683585062284,8,Face1,Face1,True
1683585062795,1683585064306,1683585064874,8,Face1,Face1,True
1683585065388,1683585066976,1683585067512,8,Face1,Face1,True
1683585068025,1683585069519,1683585070092,8,Face2,Face2,True
