Letter,Direction,Eccentricity,Reaction Time (s),Stim Size
B,2,24,0,4
P,0,16,0,4
B,2,8,1.1826689000008628,8
P,2,16,1.5542056999984197,6
B,2,16,0.7511500000255182,8
E,2,0,0.6358915999880992,8
P,2,24,0,8
P,2,24,0.8834005999960937,4
B,2,8,1.1030868999660015,4
B,2,0,1.290458400035277,6
E,0,8,0.8164815999916755,6
E,2,8,0.909734099986963,6
P,0,16,1.444196299999021,8
P,0,8,1.9157172999694012,4
E,2,24,0,8
P,2,24,0,4
E,0,16,0.7541479000356048,4
E,0,0,0.9805258000269532,6
P,0,24,1.1798036000109278,6
E,2,16,0.7510110000148416,4
E,2,8,0.6042056000442244,4
P,2,0,1.03090140002314,8
B,2,16,1.0298002999625169,6
P,0,16,0,8
P,0,24,1.1308317999937572,6
E,2,16,0.6297229999909177,6
E,2,16,1.2905039999750443,6
E,2,0,1.4872776999836788,6
P,2,24,1.127133700007107,6
E,2,24,0,8
P,0,0,0.928457600006368,8
P,2,24,1.1146819000132382,6
B,0,0,0.7727553000440821,8
B,0,0,0.7862121000071056,6
E,2,24,0.7744547000038438,8
B,2,24,0,6
E,0,16,0.9489018999738619,4
E,0,8,1.535636099986732,4
B,2,0,0,8
B,0,8,0.6569726999732666,4
E,2,24,1.1091242999536917,8
P,0,8,0.9878889999818057,8
B,2,8,1.1778829999966547,8
P,2,8,1.3418900000397116,6
P,2,16,1.2471124000148848,4
P,2,8,1.5976646000053734,8
P,0,16,1.582109999959357,6
P,0,0,1.2954625000129454,8
P,0,8,0.7629963000072166,8
P,0,8,0.627680599980522,4
P,2,16,0.8756154000293463,8
E,0,24,0.7153592999675311,8
E,2,0,0.7387085999944247,4
B,0,8,0.7429830000037327,4
P,0,0,0.7655580000136979,6
B,0,16,1.2103460000362247,4
B,2,8,0.8151671999949031,6
B,0,8,0.9974214000394568,8
E,0,24,0.9798276000074111,4
P,0,0,1.3058227999717928,6
E,0,8,0.8675892000319436,8
B,2,0,0.6884443999733776,6
E,0,16,0.7409673000220209,6
E,2,16,1.0568104999838397,6
P,2,0,1.0944376999977976,4
P,2,8,1.2952880000229925,6
E,2,0,0.7041957000037655,6
E,2,16,1.4114785999991,8
E,0,16,0.9778322000056505,8
E,0,0,0.6576342000043951,8
B,2,24,1.18064899998717,4
P,0,0,0.9874055000254884,4
E,0,16,0.7295731999911368,4
P,2,0,1.4627595999627374,6
B,2,8,1.4223188999458216,4
P,0,24,0.3258614999940619,6
B,0,24,0,4
P,0,8,0.8746558999991976,6
E,0,24,1.0586863000062294,4
B,2,0,0,4
P,0,24,0.7400249000056647,8
E,2,8,0.6859753999742679,8
P,0,0,1.1811959999613464,6
P,2,8,0.9112596000195481,8
B,0,24,0.5811051000491716,8
E,0,0,0.8891270000021905,4
P,2,24,1.2650045999907888,6
E,0,8,0.7857797000324354,8
E,0,16,0.6932710999972187,6
P,0,0,0.762072800018359,4
E,0,0,0.7161764000193216,4
P,2,8,1.248125499987509,4
B,0,8,0.8437358000082895,6
P,0,0,0.7031702999956906,8
B,0,24,1.0041536000207998,6
E,0,16,0.9537823999999091,6
E,0,24,0.9692890000296757,4
P,2,8,0,6
P,2,16,0.6816414999775589,4
P,2,16,1.101496999966912,8
B,0,24,0.4738032999448478,4
E,0,24,0.7031162000494078,8
B,2,16,1.0001947999699041,4
B,2,16,0,4
E,0,24,1.3617250000243075,6
P,0,0,0.9837217000313103,4
B,0,8,0.7688530000159517,6
E,2,0,0.6428790000500157,4
B,2,8,1.068134100001771,4
P,2,16,0.6877611000090837,8
B,0,8,0.8038755999878049,6
P,2,24,1.5518073999555781,6
P,2,24,1.3805736000067554,4
E,0,24,0.7332102000364102,8
B,2,0,0.8844566000043415,8
B,2,0,0.858267400006298,4
E,0,16,0.8339481000439264,8
E,0,16,0.6740681999945082,6
P,0,16,0.8770307000377215,8
P,2,0,0,8
B,2,24,1.2049599000019953,4
P,0,16,0.6462716999812983,4
P,2,24,1.323072900006082,8
E,2,24,0.7381494999863207,8
P,2,24,1.3014338999637403,4
P,0,16,0.6451047000009567,8
E,2,24,1.1861021000077017,8
B,2,24,0.9915131999878213,6
B,2,0,1.0747962000314146,8
B,0,24,0.736724000016693,4
B,2,0,0.6638434999622405,4
P,2,8,0.7332326000323519,6
B,2,16,0.9346979000256397,4
P,2,0,0.8832736000185832,8
