CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity
1684183180999;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.126880, 0.076863, 0.988936);2;0;7.311064;4.444241
1684183181004;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.126292, 0.076550, 0.989035);2;0;7.276816;4.425782
1684183181009;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.125011, 0.075973, 0.989242);2;0;7.202301;4.391627
1684183181014;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.119420, 0.075977, 0.989933);2;0;6.878578;4.388814
1684183181019;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.105932, 0.075788, 0.991481);2;0;6.098480;4.371148
1684183181024;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.081248, 0.075480, 0.993832);2;0;4.673677;4.343184
1684183181029;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.052396, 0.074422, 0.995849);2;0;3.011831;4.273909
1684183181034;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.016807, 0.072714, 0.997211);2;0;0.965572;4.170460
1684183181039;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.019710, 0.072259, 0.997191);2;0;-1.132314;4.144533
1684183181044;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.048566, 0.071308, 0.996271);2;0;-2.790812;4.093944
1684183181049;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.066621, 0.069899, 0.995327);2;0;-3.829339;4.017140
1684183181054;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.078102, 0.068798, 0.994569);2;0;-4.490138;3.957035
1684183181059;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.085922, 0.067633, 0.994004);2;0;-4.940358;3.892462
1684183181064;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.090404, 0.067198, 0.993636);2;0;-5.198639;3.868945
1684183181069;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.093537, 0.066881, 0.993367);2;0;-5.379207;3.851763
1684183181074;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.095788, 0.066194, 0.993198);2;0;-5.508814;3.812944
1684183181079;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.096980, 0.065319, 0.993141);2;0;-5.577228;3.762924
1684183181084;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.098178, 0.064746, 0.993060);2;0;-5.646164;3.730297
1684183181089;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.099307, 0.063907, 0.993003);2;0;-5.710968;3.682331
1684183181094;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.099521, 0.063271, 0.993022);2;0;-5.723087;3.645725
1684183181099;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.099440, 0.062374, 0.993087);2;0;-5.718084;3.593899
1684183181104;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.099115, 0.061588, 0.993168);2;0;-5.699057;3.548445
1684183181109;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.098934, 0.060716, 0.993240);2;0;-5.688305;3.498067
1684183181114;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.098852, 0.059732, 0.993308);2;0;-5.683241;3.441301
1684183181119;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.098805, 0.058624, 0.993379);2;0;-5.680168;3.377375
