CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity
1684184646219;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.045033, 0.083340, 0.995503);2;0.01100527;2.590117;4.785433
1684184646224;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.044578, 0.084402, 0.995434);2;0;2.564116;4.846442
1684184646229;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.044288, 0.085269, 0.995373);2;0;2.547641;4.896329
1684184646234;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.044472, 0.086567, 0.995253);2;0;2.558494;4.971050
1684184646239;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.044450, 0.088021, 0.995126);2;0;2.557599;5.054757
1684184646244;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.044463, 0.089372, 0.995005);2;0;2.558624;5.132545
1684184646249;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.044629, 0.090874, 0.994862);2;0;2.568541;5.219127
1684184646254;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.044370, 0.090887, 0.994872);2;0;2.553599;5.219816
1684184646259;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.043878, 0.090921, 0.994891);2;0;2.525303;5.221630
1684184646264;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.043485, 0.090826, 0.994917);2;0.05402838;2.502648;5.216070
1684184646269;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.042825, 0.090033, 0.995018);2;0;2.464481;5.170289
1684184646274;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.042239, 0.089346, 0.995105);2;0;2.430584;5.130547
1684184646279;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.042099, 0.088887, 0.995152);2;0;2.422380;5.104093
1684184646284;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.042017, 0.088392, 0.995199);2;0;2.417578;5.075617
1684184646289;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.041787, 0.087993, 0.995244);2;0.1303795;2.404220;5.052575
1684184646294;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.041592, 0.087395, 0.995305);2;0.1095196;2.392889;5.018111
1684184646299;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.041539, 0.087100, 0.995333);2;0.1514538;2.389764;5.001136
1684184646304;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.041536, 0.086753, 0.995364);2;0.2273227;2.389513;4.981160
1684184646309;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.041522, 0.086304, 0.995403);2;0.3046187;2.388614;4.955300
1684184646314;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.041512, 0.085747, 0.995452);2;0.3058299;2.387946;4.923248
1684184646319;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.041531, 0.084908, 0.995523);2;0.3435527;2.388867;4.874954
1684184646324;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.041560, 0.084038, 0.995596);2;0.3577063;2.390368;4.824871
1684184646329;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.041602, 0.083138, 0.995669);2;0.4411793;2.392618;4.773077
1684184646334;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.041664, 0.082163, 0.995748);2;0.4701256;2.395974;4.717036
1684184646339;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.041776, 0.081095, 0.995831);2;0.4556076;2.402205;4.655594
1684184646344;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.041607, 0.079336, 0.995979);2;0.3831953;2.392114;4.554325
1684184646349;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.041651, 0.078244, 0.996064);2;0.4523052;2.394472;4.491515
1684184646354;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.041577, 0.076552, 0.996198);2;0.4114801;2.389870;4.394232
1684184646359;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.041631, 0.075046, 0.996311);2;0.3955418;2.392726;4.307626
1684184646364;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.041737, 0.073682, 0.996408);2;0.4875507;2.398556;4.229206
1684184646369;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.041858, 0.073227, 0.996437);2;0.4193095;2.405442;4.203046
1684184646374;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.042000, 0.073143, 0.996437);2;0.4458193;2.413615;4.198270
1684184646379;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.041985, 0.072755, 0.996466);2;0.4020488;2.412644;4.175908
1684184646384;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.042073, 0.072892, 0.996452);2;0.3549932;2.417750;4.183814
1684184646389;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.042377, 0.073981, 0.996359);2;0.2919014;2.435448;4.246503
1684184646394;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.042691, 0.074610, 0.996299);2;0.3115966;2.453617;4.282743
1684184646399;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.043057, 0.075192, 0.996239);2;0.3039176;2.474773;4.316239
1684184646404;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.043388, 0.075429, 0.996207);2;0.2553813;2.493832;4.329985
1684184646409;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.043811, 0.075779, 0.996162);2;0.22115;2.518225;4.350160
1684184646414;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.044137, 0.076074, 0.996125);2;0.245079;2.537022;4.367198
1684184646419;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.044625, 0.076444, 0.996075);2;0.1624912;2.565194;4.388566
1684184646424;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.044986, 0.076798, 0.996031);2;0.1282046;2.585996;4.408985
1684184646429;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.045322, 0.077220, 0.995983);2;0.138834;2.605427;4.433351
1684184646434;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.045514, 0.077726, 0.995935);2;0.1373473;2.616596;4.462520
1684184646439;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.045782, 0.078384, 0.995871);2;0.2240831;2.632165;4.500427
1684184646444;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.045837, 0.079338, 0.995793);2;0.2520845;2.635486;4.555337
1684184646449;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.045925, 0.080344, 0.995709);2;0.3276664;2.640760;4.613232
1684184646454;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.046107, 0.081458, 0.995610);2;0.3365555;2.651502;4.677366
1684184646459;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.046113, 0.082726, 0.995505);2;0.3134861;2.652089;4.750324
1684184646464;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.046183, 0.083833, 0.995409);2;0.3748487;2.656367;4.814043
1684184646469;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.046413, 0.084947, 0.995304);2;0.3773251;2.669890;4.878238
1684184646474;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.046655, 0.085651, 0.995232);2;0.4109292;2.683951;4.918843
1684184646479;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.046947, 0.086153, 0.995175);2;0.465263;2.700900;4.947796
1684184646484;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.047075, 0.086227, 0.995163);2;0.5804516;2.708268;4.952074
1684184646489;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.047244, 0.086194, 0.995158);2;0.6057271;2.718005;4.950244
1684184646494;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.047479, 0.086156, 0.995150);2;0.6086744;2.731536;4.948100
1684184646499;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.047724, 0.086048, 0.995147);2;0.6529545;2.745621;4.941923
1684184646504;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.047956, 0.086029, 0.995138);2;0.6857793;2.758973;4.940878
1684184646509;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.048217, 0.085891, 0.995137);2;0.68326;2.773984;4.932990
1684184646514;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.048470, 0.085742, 0.995138);2;0.7655915;2.788476;4.924523
1684184646519;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.048721, 0.085527, 0.995144);2;0.7870657;2.802902;4.912203
1684184646524;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.048968, 0.085305, 0.995151);2;0.7807734;2.817065;4.899482
1684184646529;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.049274, 0.085072, 0.995156);2;0.7859524;2.834633;4.886108
1684184646534;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.049568, 0.084813, 0.995163);2;0.7942876;2.851465;4.871291
1684184646539;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.049891, 0.084582, 0.995167);2;0.8406785;2.870004;4.858081
1684184646544;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.050125, 0.084378, 0.995172);2;0.8327342;2.883433;4.846354
1684184646549;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.050361, 0.084126, 0.995182);2;0.8446634;2.896958;4.831895
1684184646554;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.050639, 0.083840, 0.995192);2;0.873972;2.912885;4.815531
1684184646559;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.050947, 0.083543, 0.995201);2;0.8827512;2.930552;4.798504
1684184646564;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.051248, 0.083215, 0.995213);2;0.9151311;2.947832;4.779674
1684184646569;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.051399, 0.082788, 0.995241);2;0.9227383;2.956409;4.755155
1684184646574;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.051577, 0.082311, 0.995271);2;0.9310442;2.966557;4.727704
1684184646579;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.051775, 0.081871, 0.995297);2;0.9773523;2.977824;4.702448
1684184646584;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.052030, 0.081449, 0.995319);2;0.9817109;2.992393;4.678217
1684184646589;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.052295, 0.081058, 0.995337);2;0.9925148;3.007576;4.655773
1684184646594;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.052586, 0.080712, 0.995349);2;0.9971592;3.024218;4.635933
1684184646599;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.052888, 0.080440, 0.995355);2;0.9998879;3.041516;4.620329
1684184646604;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.052719, 0.079822, 0.995414);2;0.9188392;3.031682;4.584711
1684184646609;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.052607, 0.079205, 0.995469);2;0.9166312;3.025060;4.549178
1684184646614;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.052569, 0.078649, 0.995515);2;0.9214383;3.022750;4.517145
1684184646619;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.052620, 0.078336, 0.995537);2;0.8945692;3.025610;4.499159
1684184646624;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.052739, 0.078170, 0.995544);2;0.8890558;3.032430;4.489644
1684184646629;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.052846, 0.078227, 0.995534);2;0.8741669;3.038585;4.492971
1684184646634;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.052967, 0.078289, 0.995523);2;0.8796636;3.045547;4.496569
1684184646639;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.053160, 0.078245, 0.995516);2;0.8701272;3.056652;4.494037
1684184646644;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.053369, 0.078202, 0.995508);2;0.8796499;3.068678;4.491665
1684184646649;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.053588, 0.078133, 0.995502);2;0.8831968;3.081289;4.487743
1684184646654;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.053829, 0.078026, 0.995497);2;0.8813028;3.095127;4.481632
1684184646659;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.054059, 0.077912, 0.995494);2;0.8805105;3.108299;4.475104
1684184646664;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.054252, 0.077735, 0.995497);2;0.8941953;3.119409;4.464997
1684184646669;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.054389, 0.077497, 0.995508);2;0.8880396;3.127215;4.451328
1684184646674;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.054576, 0.077281, 0.995515);2;0.8852782;3.137903;4.438924
1684184646679;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.054758, 0.077088, 0.995520);2;0.8963476;3.148365;4.427856
1684184646684;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.054932, 0.076907, 0.995524);2;0.899283;3.158298;4.417475
1684184646689;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.055018, 0.076704, 0.995535);2;0.8903986;3.163230;4.405845
1684184646694;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.055306, 0.076093, 0.995566);2;0.8123103;3.179629;4.370746
1684184646699;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.056021, 0.075451, 0.995575);2;0.8370631;3.220663;4.333942
1684184646704;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.057588, 0.074476, 0.995559);2;0.7102329;3.310602;4.278237
1684184646709;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.059504, 0.073426, 0.995524);2;0.6846404;3.420602;4.218301
1684184646714;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.060852, 0.072658, 0.995499);2;0.6525294;3.497989;4.174389
1684184646719;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.062421, 0.071900, 0.995457);2;0.6412636;3.588082;4.131180
1684184646724;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.063642, 0.071137, 0.995434);2;0.6512158;3.658143;4.087569
1684184646729;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.064861, 0.070430, 0.995406);2;0.6437144;3.728129;4.047227
1684184646734;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.066145, 0.070012, 0.995351);2;0.6341019;3.801920;4.023497
1684184646739;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.067240, 0.069463, 0.995316);2;0.6145386;3.864799;3.992220
1684184646744;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.068140, 0.068931, 0.995292);2;0.6146699;3.916497;3.961834
1684184646749;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.068816, 0.068404, 0.995282);2;0.6135129;3.955237;3.931671
1684184646754;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.069686, 0.067943, 0.995253);2;0.5866367;4.005235;3.905380
1684184646759;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.070372, 0.067548, 0.995231);2;0.5966767;4.044613;3.882780
1684184646764;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.071065, 0.067051, 0.995216);2;0.5913374;4.084376;3.854390
1684184646769;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.071762, 0.066573, 0.995198);2;0.5908625;4.124346;3.827069
1684184646774;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.072544, 0.066187, 0.995167);2;0.5713441;4.169266;3.805067
1684184646779;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.073560, 0.065800, 0.995118);2;0.5360124;4.227672;3.783055
1684184646784;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.074567, 0.065381, 0.995070);2;0.5375163;4.285558;3.759216
1684184646789;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.075476, 0.064950, 0.995030);2;0.6176271;4.337725;3.734630
1684184646794;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.075747, 0.064609, 0.995032);2;0.6394359;4.353245;3.715102
1684184646799;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.076000, 0.064288, 0.995033);2;0.768426;4.367713;3.696677
1684184646804;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.076225, 0.063980, 0.995036);2;0.8023281;4.380612;3.678982
1684184646809;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.076389, 0.063683, 0.995042);2;0.8664565;4.389939;3.661973
1684184646814;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.076518, 0.063392, 0.995051);2;0.8982531;4.397306;3.645216
1684184646819;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.076641, 0.063113, 0.995059);2;0.9206249;4.404324;3.629208
1684184646824;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.076770, 0.062838, 0.995067);2;0.9309635;4.411669;3.613378
1684184646829;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.076948, 0.062582, 0.995069);2;0.9569455;4.421857;3.598702
1684184646834;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.077090, 0.062338, 0.995073);2;0.977695;4.429970;3.584702
1684184646839;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.077264, 0.062166, 0.995071);2;0.9750525;4.439949;3.574860
1684184646844;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.077393, 0.062051, 0.995068);2;0.9813551;4.447316;3.568276
1684184646849;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.077496, 0.062029, 0.995061);2;0.9990939;4.453231;3.566995
1684184646854;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.077583, 0.062028, 0.995055);2;1;4.458235;3.566992
1684184646859;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.077530, 0.062049, 0.995057);2;1;4.455189;3.568181
1684184646864;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.077603, 0.062097, 0.995049);2;0.9894518;4.459434;3.570958
1684184646869;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.077821, 0.062030, 0.995036);2;0.9740744;4.471984;3.567190
1684184646874;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.077808, 0.062047, 0.995036);2;0.9675563;4.471212;3.568150
1684184646879;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.077732, 0.062033, 0.995043);2;0.9684305;4.466854;3.567316
1684184646884;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.077647, 0.062168, 0.995041);2;0.9398816;4.461970;3.575065
1684184646889;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.077518, 0.062282, 0.995044);2;0.9841076;4.454590;3.581571
1684184646894;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.077387, 0.062401, 0.995047);2;0.9808847;4.447042;3.588386
1684184646899;(0.000000, 0.400000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.077308, 0.062574, 0.995042);2;0.9600365;4.442567;3.598355
