CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity
1684788095379;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.285076, 0.082623, 0.954937);2;0.9844724;16.621862;4.945005
1684788095384;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.285038, 0.082882, 0.954926);2;0.9517252;16.619921;4.960507
1684788095389;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.285029, 0.083133, 0.954907);2;0.9410595;16.619741;4.975561
1684788095394;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.285033, 0.083321, 0.954890);2;0.9352755;16.620255;4.986867
1684788095404;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.284964, 0.083457, 0.954898);2;0.9414269;16.616323;4.994911
1684788095409;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.284825, 0.083508, 0.954935);2;0.9191809;16.608054;4.997734
1684788095414;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.284822, 0.083669, 0.954922);2;0.8630747;16.608135;5.007367
1684788095419;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.284857, 0.083813, 0.954899);2;0.8722935;16.610450;5.016095
1684788095424;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.284856, 0.083965, 0.954886);2;0.8720487;16.610590;5.025177
1684788095429;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.284861, 0.084139, 0.954869);2;0.8723906;16.611108;5.035639
1684788095434;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.284872, 0.084347, 0.954847);2;0.8696775;16.612130;5.048179
1684788095439;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.284908, 0.084502, 0.954823);2;0.8630977;16.614498;5.057513
1684788095444;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.284955, 0.084660, 0.954795);2;0.8775304;16.617536;5.067048
1684788095449;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.285007, 0.084746, 0.954772);2;0.8801756;16.620751;5.072277
1684788095454;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.285069, 0.084800, 0.954749);2;0.8775373;16.624552;5.075674
1684788095459;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.285134, 0.084823, 0.954727);2;0.8819029;16.628492;5.077122
1684788095469;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.285233, 0.084825, 0.954697);2;0.8801154;16.634489;5.077414
1684788095474;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.285305, 0.084717, 0.954685);2;0.8687305;16.638622;5.071050
1684788095479;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.285302, 0.084488, 0.954706);2;0.8364273;16.638138;5.057288
1684788095484;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.285418, 0.084328, 0.954686);2;0.8230433;16.644820;5.047894
1684788095489;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.285839, 0.083994, 0.954590);2;0.780406;16.669626;5.028466
1684788095494;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.285128, 0.083954, 0.954806);2;0.3494944;16.626898;5.024945
1684788095499;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.279363, 0.084271, 0.956480);2;0;16.281728;5.035038
1684788095509;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.264653, 0.085410, 0.960554);2;0;15.404032;5.081203
1684788095514;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.244728, 0.086965, 0.965684);2;0;14.220734;5.145915
1684788095519;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.216953, 0.088235, 0.972186);2;0;12.579994;5.185909
1684788095524;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.186522, 0.089871, 0.978332);2;0;10.794073;5.248548
1684788095534;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.156966, 0.090985, 0.983404);2;0;9.068756;5.286010
1684788095539;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.137730, 0.091615, 0.986224);2;0;7.950180;5.307252
1684788095544;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.127366, 0.091750, 0.987603);2;0;7.348552;5.307651
1684788095549;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.121217, 0.092024, 0.988351);2;0;6.992176;5.319420
1684788095554;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.117645, 0.092584, 0.988731);2;0;6.785462;5.349510
