Correct,TestValue,StartTime,EndTime,Target
-1,-1,1684693181233,1684693186244,-1
1,8,1684693268164,1684693268609,2
0,2,1684693271475,1684693272053,1
1,2,1684693275631,1684693275998,2
1,8,1684693279142,1684693279687,1
1,16,1684693283375,1684693283887,1
0,2,1684693287620,1684693288054,1
0,2,1684693291197,1684693291775,1
1,16,1684693295097,1684693295542,1
1,16,1684693298608,1684693299086,1
1,2,1684693302408,1684693302942,2
1,4,1684693306320,1684693306797,2
1,16,1684693310341,1684693310764,2
1,4,1684693313764,1684693314286,3
0,4,1684693317497,1684693318020,1
1,16,1684693321630,1684693322141,2
1,8,1684693325541,1684693326074,2
1,2,1684693329819,1684693330453,1
1,4,1684693333741,1684693334497,3
1,2,1684693337518,1684693338030,3
1,16,1684693341685,1684693342230,1
1,4,1684693345141,1684693345641,3
0,2,1684693348707,1684693349296,1
1,8,1684693352229,1684693352763,2
0,2,1684693356363,1684693356896,1
1,8,1684693359718,1684693360274,2
1,4,1684693363685,1684693364241,2
1,8,1684693367752,1684693368374,2
1,2,1684693371829,1684693372474,2
1,8,1684693375918,1684693376441,2
1,8,1684693379785,1684693380285,2
0,4,1684693383896,1684693384429,3
1,8,1684693387295,1684693387873,3
0,8,1684693391307,1684693391873,1
1,4,1684693395596,1684693396174,3
0,16,1684693399451,1684693399984,1
1,16,1684693403428,1684693403906,2
0,2,1684693407295,1684693407929,3
1,4,1684693411228,1684693411862,3
1,2,1684693415140,1684693415629,2
0,4,1684693419317,1684693419928,1
1,4,1684693422950,1684693423473,3
1,16,1684693426506,1684693427028,3
1,2,1684693430628,1684693431195,2
1,16,1684693434450,1684693434961,3
1,16,1684693437783,1684693438306,2
1,4,1684693441095,1684693441639,2
1,4,1684693444872,1684693445361,2
1,16,1684693448694,1684693449194,2
1,4,1684693452316,1684693452917,2
1,2,1684693456038,1684693456739,3
1,4,1684693460461,1684693461039,3
0,2,1684693464228,1684693464672,3
1,4,1684693467927,1684693468461,3
1,16,1684693472105,1684693472683,2
1,16,1684693475916,1684693476605,1
1,16,1684693479916,1684693480516,1
1,2,1684693483316,1684693483894,3
1,8,1684693487460,1684693488005,2
0,8,1684693491304,1684693491938,1
1,4,1684693494860,1684693495516,3
1,16,1684693498838,1684693499460,1
0,2,1684693502660,1684693503249,3
1,4,1684693506305,1684693506793,3
1,2,1684693509815,1684693510327,2
1,8,1684693513537,1684693514060,1
1,2,1684693517726,1684693518237,2
1,2,1684693521937,1684693522482,3
1,2,1684693526048,1684693526604,3
1,8,1684693529381,1684693529849,2
1,8,1684693533571,1684693534170,3
1,16,1684693537337,1684693537837,2
1,16,1684693540859,1684693541370,1
0,2,1684693544725,1684693545226,1
0,16,1684693548270,1684693548825,3
1,4,1684693551648,1684693552115,2
1,8,1684693555136,1684693555737,1
