Correct,TestValue,StartTime,EndTime,Target
-1,-1,1684529044666,1684529147365,-1
1,0.3496,1684529147365,1684529148121,3
1,1.3985,1684529151599,1684529152176,2
1,1.3985,1684529155876,1684529156510,1
1,2.7971,1684529159876,1684529160454,1
1,0.3496,1684529164076,1684529164632,3
1,0.6993,1684529168209,1684529168787,3
0,2.7971,1684529171565,1684529172220,3
1,0.3496,1684529175654,1684529176342,1
1,0.6993,1684529179798,1684529180354,2
1,0.3496,1684529183464,1684529183998,2
1,1.3985,1684529187653,1684529188154,1
1,0.6993,1684529191498,1684529192109,2
1,0.6993,1684529195231,1684529195753,2
1,0.3496,1684529199486,1684529200120,2
1,1.3985,1684529203453,1684529204053,2
1,0.3496,1684529207541,1684529208220,2
1,1.3985,1684529211875,1684529212564,1
1,0.3496,1684529215642,1684529216642,2
1,0.6993,1684529220175,1684529220942,1
1,0.3496,1684529224508,1684529225253,3
1,0.6993,1684529228675,1684529229275,1
1,0.3496,1684529232242,1684529232874,2
1,0.6993,1684529235941,1684529236675,1
1,0.6993,1684529240285,1684529240985,3
1,1.3985,1684529244219,1684529244919,3
0,0.6993,1684529247774,1684529248308,1
0,2.7971,1684529251930,1684529252785,2
1,1.3985,1684529256230,1684529256874,1
1,0.3496,1684529260363,1684529261074,2
1,1.3985,1684529264285,1684529264885,1
0,1.3985,1684529268451,1684529269351,3
1,1.3985,1684529272474,1684529273085,1
1,2.7971,1684529276240,1684529276884,2
1,2.7971,1684529280596,1684529281384,1
0,0.6993,1684529284918,1684529285607,2
1,0.6993,1684529288429,1684529289063,1
1,0.3496,1684529292662,1684529293263,2
1,1.3985,1684529296884,1684529297562,3
1,2.7971,1684529301029,1684529301818,1
1,0.3496,1684529304640,1684529305262,1
0,0.6993,1684529308584,1684529309273,1
1,0.6993,1684529312673,1684529313295,2
1,0.6993,1684529316984,1684529317684,1
1,0.3496,1684529321262,1684529321862,1
1,0.3496,1684529325550,1684529326162,2
1,0.6993,1684529329817,1684529330406,1
1,1.3985,1684529333839,1684529334429,1
1,0.6993,1684529337339,1684529338062,2
1,1.3985,1684529341406,1684529342006,3
1,2.7971,1684529345139,1684529345828,3
1,2.7971,1684529348961,1684529349606,1
1,0.6993,1684529352783,1684529353516,1
1,2.7971,1684529356494,1684529357050,1
1,2.7971,1684529360339,1684529360928,1
1,0.3496,1684529364194,1684529364805,2
1,2.7971,1684529368461,1684529369183,2
1,1.3985,1684529372872,1684529373483,2
1,2.7971,1684529376260,1684529376916,1
1,0.3496,1684529380261,1684529380972,2
0,2.7971,1684529384638,1684529385260,1
1,0.3496,1684529388361,1684529388972,3
1,0.3496,1684529392505,1684529393083,3
0,1.3985,1684529396483,1684529397171,2
1,2.7971,1684529400693,1684529401393,3
1,1.3985,1684529404760,1684529405460,1
1,1.3985,1684529408693,1684529409327,1
1,0.6993,1684529412315,1684529412904,1
0,0.3496,1684529416315,1684529416882,3
0,0.3496,1684529419782,1684529420293,3
1,1.3985,1684529423315,1684529423927,2
