Correct,TestValue,StartTime,EndTime,Target
-1,-1,1684693947951,1684693952962,-1
1,2,1684694034960,1684694035572,3
1,2,1684694039082,1684694039627,3
0,16,1684694043271,1684694043816,1
1,4,1684694047215,1684694047827,3
1,4,1684694051415,1684694051793,2
0,2,1684694054559,1684694055193,1
1,4,1684694058104,1684694058727,3
1,16,1684694061637,1684694062238,1
1,8,1684694065893,1684694066505,2
1,8,1684694069726,1684694070315,1
1,2,1684694073237,1684694073760,2
1,8,1684694077370,1684694077949,1
0,2,1684694081215,1684694081859,1
1,8,1684694085148,1684694085781,3
1,16,1684694089404,1684694090037,2
1,8,1684694093459,1684694094003,3
1,8,1684694096992,1684694097526,2
1,16,1684694100403,1684694100959,1
1,4,1684694104614,1684694105081,2
1,8,1684694108081,1684694108648,1
1,8,1684694112303,1684694112781,2
1,16,1684694116280,1684694116814,3
1,16,1684694119747,1684694120281,2
1,16,1684694123903,1684694124347,3
1,16,1684694127636,1684694128103,2
1,8,1684694131592,1684694132014,2
1,2,1684694135002,1684694135469,2
1,2,1684694138713,1684694139147,2
1,16,1684694142103,1684694142703,3
1,4,1684694146236,1684694146869,1
1,2,1684694149646,1684694150158,3
1,16,1684694153558,1684694154113,3
1,2,1684694157769,1684694158313,2
0,16,1684694161313,1684694161980,3
1,8,1684694165036,1684694165491,3
1,8,1684694168702,1684694169124,3
1,2,1684694172046,1684694172657,1
0,16,1684694176091,1684694176557,2
1,8,1684694179768,1684694180346,1
1,2,1684694183679,1684694184279,3
1,8,1684694188012,1684694188512,2
0,2,1684694191657,1684694192435,3
1,16,1684694196168,1684694196857,3
1,16,1684694199812,1684694200412,1
1,16,1684694203701,1684694204290,1
1,2,1684694207456,1684694208034,1
1,4,1684694211479,1684694211990,2
0,2,1684694215390,1684694215957,1
1,2,1684694218756,1684694219323,2
1,2,1684694222745,1684694223379,2
1,4,1684694227034,1684694227590,3
1,4,1684694230867,1684694231523,3
1,8,1684694234768,1684694235256,2
1,16,1684694238178,1684694238645,2
1,2,1684694241978,1684694242689,3
1,16,1684694245800,1684694246289,2
1,8,1684694249700,1684694250178,2
1,16,1684694253522,1684694254100,3
1,8,1684694257378,1684694258078,3
1,4,1684694260900,1684694261433,2
1,8,1684694264688,1684694265377,1
1,8,1684694268756,1684694269400,3
1,8,1684694272733,1684694273255,3
1,16,1684694276899,1684694277444,1
0,8,1684694281022,1684694281544,1
1,2,1684694284844,1684694285368,3
1,2,1684694288199,1684694288667,2
1,4,1684694292210,1684694292766,1
