Correct,TestValue,StartTime,EndTime,Target
-1,-1,1684633000000,1684633200000,-1
1,1.3985,1684633233546,1684633234135,3
1,0.6993,1684633237413,1684633237902,3
1,2.7971,1684633241636,1684633242136,2
0,2.7971,1684633245602,1684633246213,2
1,1.3985,1684633249302,1684633249903,3
1,1.3985,1684633253035,1684633253602,1
1,2.7971,1684633257202,1684633257579,2
1,0.6993,1684633260480,1684633260957,3
1,0.6993,1684633263990,1684633264635,3
0,2.7971,1684633267802,1684633268368,1
1,2.7971,1684633271201,1684633271736,2
1,0.6993,1684633275413,1684633276013,2
1,0.6993,1684633279157,1684633279813,3
1,1.3985,1684633283301,1684633283902,1
1,1.3985,1684633286868,1684633287391,2
1,2.7971,1684633290290,1684633290912,2
1,0.3496,1684633293691,1684633294302,1
1,2.7971,1684633297413,1684633298135,3
1,0.3496,1684633301835,1684633302446,1
1,0.3496,1684633306023,1684633306646,3
1,0.6993,1684633309857,1684633310401,1
1,0.3496,1684633313935,1684633314602,3
1,0.6993,1684633318301,1684633319012,1
1,1.3985,1684633322735,1684633323335,3
1,2.7971,1684633326468,1684633327023,2
0,2.7971,1684633330201,1684633330712,3
1,2.7971,1684633334068,1684633334690,1
1,0.3496,1684633338412,1684633338990,1
1,0.6993,1684633341990,1684633342557,2
1,1.3985,1684633345389,1684633346023,1
1,1.3985,1684633349268,1684633349812,3
1,1.3985,1684633353545,1684633354101,2
1,2.7971,1684633357501,1684633358068,1
1,0.6993,1684633361812,1684633362401,1
1,0.6993,1684633365967,1684633366535,2
1,1.3985,1684633369956,1684633370456,2
1,1.3985,1684633373878,1684633374424,1
1,0.3496,1684633378056,1684633378623,2
1,0.6993,1684633382090,1684633382578,2
0,2.7971,1684633385901,1684633386412,3
1,0.3496,1684633390145,1684633390679,2
1,0.6993,1684633394034,1684633394701,1
1,0.6993,1684633398234,1684633398823,3
1,0.3496,1684633401601,1684633402245,1
1,1.3985,1684633405256,1684633405790,1
1,1.3985,1684633408923,1684633409434,1
1,1.3985,1684633412234,1684633412756,1
1,2.7971,1684633415923,1684633416512,2
1,0.3496,1684633419756,1684633420312,2
1,0.6993,1684633424034,1684633424634,1
1,2.7971,1684633428200,1684633428734,1
1,2.7971,1684633432200,1684633432823,2
1,0.6993,1684633436567,1684633437134,1
1,2.7971,1684633439967,1684633440700,1
1,1.3985,1684633444278,1684633444745,1
1,0.3496,1684633448067,1684633448556,1
1,1.3985,1684633451445,1684633451878,1
1,2.7971,1684633454633,1684633455056,1
1,0.6993,1684633458556,1684633458978,1
1,0.3496,1684633462134,1684633462567,1
1,0.6993,1684633465900,1684633466478,3
1,1.3985,1684633469978,1684633470478,3
1,0.3496,1684633474067,1684633474667,2
1,1.3985,1684633477534,1684633478022,3
