DisplayTime;FinishTime;SentenceSet;Sentence
1684183198122;1684183204599;0;6
1684183207055;1684183213261;0;4
1684183215463;1684183219063;0;7
1684183220873;1684183223589;0;5
1684183225775;1684183230519;0;8
1684183232291;1684183237037;0;1
1684183239421;1684183245154;0;9
1684183247091;1684183250401;0;0
1684183252639;1684183258555;0;2
1684183261657;1684183265898;0;3
