DisplayTime;FinishTime;SentenceSet;Sentence
1684184657063;1684184659510;0;7
1684184661652;1684184664675;0;0
1684184667019;1684184671302;0;3
1684184674047;1684184677114;0;8
1684184679980;1684184686454;0;5
1684184688715;1684184692091;0;9
1684184694153;1684184697799;0;6
1684184700044;1684184702311;0;4
1684184705193;1684184708615;0;2
1684184710908;1684184713870;0;1
