Label,Description,MacAddress,Width (px),Height (px),Width (cm),Distance to screen,Screen number,Device,height,faceHeight,faceWidth,circleRadius,centerx,centery,rightx,rightEdge,leftx,leftEdge,spacer,timeDelay
Remote 1,Caominh's Laptop,10:5b:ad:8b:52:ac,1920,1080,35,50,0,Laptop,1.425,1,1,1,-0.05,0.7,1,27.5,-1,27.5,1.05,109
Remote 2,Victor Li - Windows,f4:39:09:38:cb:f8,3840,2160,121,50,0,Desktop,0.6875,0.5,0.5,0.45625,0,0.4,0.5,60.390625,-0.5,60.390625,0.50703125,109
Remote 3,Nyla's Laptop,e0:0a:f6:4c:b7:12,1920,1080,34,50,0,Laptop,1.36875,1,1,0.9984375,0,0.7,0.999375,16.97838493,-0.99,17.12436869,1.003125,109
Remote 5,55TV-A,b0:35:9f:69:36:e6,3840,2160,121,50,0,Desktop,1.4,1,1,0.95,-0.05,0.7,1.0575,57.03309693,-1.0475,57.72673031,1.021875,109
Remote 6,55TV-C,1c:87:2c:d2:10:41,3840,2160,121,50,0,Desktop,1.3875,1,1,1,-0.05,0.7,1.045,57.715311,-1.04,58.14302885,1.015625,109
Remote 7,55TV-B,a0:af:bd:7a:12:f9,3840,2160,121,50,0,Desktop,1.375,1,1.0125,1,0,0.65,1,60.390625,-1,60.390625,1.00625,109
Remote 8,55TV-D,a0:af:bd:7a:13:1c,3840,2160,121,50,0,Desktop,1.375,1,1,1,0,0.65,1.0025,60.16209476,-1.0025,60.31795511,1.00625,109
Remote 8,55TV-F,1c:87:2c:d2:10:8a,3840,2160,121,50,0,Desktop,1.45625,1.025,1.0375,0.98125,0,0.65,1.0025,60.16209476,-1.0025,60.16209476,1.075,109
