Correct Response,Size (deg),Eccentricity (deg),Reaction Time (ms),Target
0,4,-0,-109,3
0,6,-0,-109,2
0,8,8,-109,1
0,8,-16,-109,2
0,4,-16,-109,1
0,4,8,-109,2
1,4,-8,772.773700006306,1
1,6,-16,628.345699919388,2
0,6,16,-109,1
0,6,-24,-109,1
1,4,-8,671.981100047939,1
0,6,24,-109,3
0,8,0,-109,1
0,6,24,-109,2
1,8,24,993.229799958877,2
1,6,16,1141.5564999301,1
1,6,-0,812.578399953432,2
1,4,-16,564.420700011775,2
1,4,24,636.196499978192,3
0,4,24,-109,3
1,8,0,702.713299946859,2
1,6,8,596.618000007235,1
1,4,0,505.118900033645,2
1,8,0,462.540900040418,2
1,6,-8,543.849199948832,2
1,4,-0,591.985500006936,1
1,4,-8,990.22249999363,2
1,4,-8,428.278700037859,2
1,8,0,426.795199917629,2
1,6,-16,700.259900008328,3
1,4,16,938.038599965163,3
1,6,-8,614.23340002913,2
0,6,0,-109,3
1,6,-16,771.758199957199,1
1,8,-8,683.159699951299,1
1,8,8,593.75810000021,1
1,4,-24,760.697199901566,1
1,4,16,694.234799997881,3
1,8,-0,508.251500021666,1
1,8,-8,780.103499939665,3
1,6,0,527.740399990231,2
1,6,8,667.808599941432,2
1,6,24,684.219599989243,3
1,8,-16,692.38740001712,1
1,4,-8,503.317600054666,1
1,8,24,937.932100085542,3
1,6,-0,519.186599933542,2
1,8,8,978.054700008593,2
1,6,0,610.052799977362,1
1,8,-8,495.231799952686,1
1,4,-24,658.023299937136,3
1,4,8,588.115299990401,3
1,6,16,610.195100013167,1
1,6,16,937.193000045605,3
1,6,0,750.306399943307,1
1,8,-24,637.640999917872,3
0,4,0,-109,3
1,4,-0,598.695299992338,2
1,8,-24,731.967299998738,3
0,8,16,-109,2
1,4,-8,705.486799994484,3
1,8,24,646.678199930117,3
1,4,8,573.494100066833,3
1,6,-16,516.114500056952,3
1,6,-24,453.944700010121,3
1,4,8,970.600000055507,2
1,8,-24,509.04289999418,3
1,4,16,1008.68859997392,2
1,4,-16,1053.56020008586,3
1,6,24,644.402600064874,2
1,8,-16,605.917100034654,1
1,8,-0,724.015099982731,3
1,6,-8,566.192599999718,2
1,4,-16,541.973699986935,1
1,6,8,572.516099954024,1
1,6,0,563.032099915668,2
1,4,24,497.72549996525,1
1,8,-8,779.600599952042,2
1,4,-24,782.562000033446,3
1,8,-16,894.367399913259,2
1,8,0,585.198400015011,2
1,4,8,562.337599982508,3
1,6,-24,1031.07200009655,3
1,8,16,805.136699982919,2
1,8,16,793.547699981369,1
0,8,0,-109,3
1,8,-0,836.192800019868,2
1,8,8,757.908499971032,2
1,8,24,678.025499972515,1
1,4,-8,818.781700040214,2
1,6,-0,509.157700053416,1
1,8,16,639.988099978305,3
0,6,24,-109,2
1,8,-24,670.233700013719,2
1,6,-16,562.730700065382,2
1,6,24,600.090100019239,3
1,4,-24,534.483799998648,3
1,8,24,1070.94559998624,2
1,4,8,491.77960009221,2
1,4,-0,990.943299894221,3
0,8,-24,-109,3
1,4,0,699.387099998072,2
1,6,-0,573.345099980012,2
1,6,16,772.335300044157,3
1,6,16,940.954800051637,3
1,4,0,663.742300061509,1
1,4,16,732.903700027615,3
1,4,16,556.997600066476,1
1,6,16,506.787900052965,1
1,6,-24,568.807900006883,1
1,6,-8,653.305599986576,2
1,8,-0,1038.59229996707,3
1,4,0,657.359300003387,2
0,4,-16,-109,2
1,8,8,472.673500011675,3
1,8,-0,507.586899966933,2
1,8,-16,527.088300030679,1
1,8,8,1280.35200008564,2
1,4,24,656.6681999797,3
1,6,-8,653.921700021252,2
1,6,-0,746.609200079925,2
1,4,-0,497.058300007135,1
1,6,-16,606.966699994169,3
1,8,24,591.510499998927,1
1,6,24,768.629800001159,2
1,8,16,593.350100036711,2
1,8,-16,677.615199991502,2
1,4,-16,501.315299942158,1
1,6,8,699.887699968182,2
1,6,-24,476.07309993729,1
1,6,8,690.396200105548,3
1,4,-0,515.970800010487,1
1,4,-24,611.947000081651,1
1,8,-8,886.786300045438,2
0,4,24,-109,2
1,6,-24,599.940600045025,3
1,4,24,845.736499930732,3
1,6,0,562.324099996127,3
1,4,0,557.484199929982,3
1,8,16,780.229999971576,2
1,8,0,704.617099891417,3
1,6,24,745.017600067891,2
0,8,-24,-109,3
1,4,-16,730.782700059004,2
1,4,24,725.374699974433,2
1,8,-24,1437.47950001527,3
