Correct Response,Size (deg),Eccentricity (deg),Reaction Time (ms),Target
1,8,-24,681.755499969237,2
1,6,-0,522.25089998357,1
1,4,-16,689.893600003794,1
1,6,-8,1293.6131000137,3
1,4,-16,624.642300008796,1
1,6,-24,556.222900104709,1
1,4,-16,417.637899922207,1
1,6,16,441.779600045644,1
1,4,8,367.026099990122,1
1,8,16,438.129100072198,1
1,6,-0,557.038400027901,2
1,6,-8,490.344899994321,2
1,6,8,483.060799943283,1
1,6,24,833.659899941646,2
1,4,8,632.116699995473,3
1,4,8,549.458399935625,2
1,4,0,338.753800079226,2
1,4,16,375.10000000149,2
1,6,-24,432.801500017755,2
1,4,16,565.444800009951,1
1,4,16,444.074999945238,2
1,4,-8,443.350100013427,2
1,6,24,422.12770000007,1
1,4,-16,335.708200055175,1
1,6,-16,710.342599948868,3
1,4,-0,532.40129997395,3
1,4,-8,462.933400002308,1
1,8,0,423.586699933745,2
1,8,24,379.187400042079,1
1,8,24,331.271600033157,1
1,8,-24,450.183400007896,1
1,6,-8,416.707600056194,1
1,8,8,461.294399978593,2
1,8,-16,665.81460000854,1
1,8,-0,679.005899987184,3
1,8,-16,540.329299922101,2
1,8,-16,655.630399993621,3
1,6,8,632.498099989258,3
1,4,24,420.74299993366,3
1,6,16,567.131300046109,2
1,4,-8,717.963300001808,3
1,4,24,488.638600040227,1
1,6,-0,421.804799986072,2
1,8,-0,438.402999945916,2
1,6,-0,461.601299987175,1
1,8,8,547.880200025626,1
1,6,-16,651.467500076629,2
1,8,0,537.779499948025,2
1,4,-0,496.501300073229,1
1,6,-24,567.689099986106,2
1,6,0,427.640399950556,1
1,4,24,703.665600096807,3
1,6,24,602.218800046481,3
1,4,-24,491.145000033081,3
1,4,-0,468.324100071564,2
1,8,0,383.783699999563,1
1,6,0,463.688900050707,1
1,6,-16,423.659900025465,1
1,4,16,529.392099994235,1
1,4,8,619.285599965602,3
1,8,-0,445.547399980947,1
0,4,24,-109,2
1,6,24,622.691300054081,3
1,4,0,404.715300010517,1
1,8,-24,816.179100013338,3
1,4,16,547.209800043143,1
1,8,0,574.287500054576,3
1,6,16,496.27749999892,1
1,6,16,617.348099997267,2
1,8,16,542.855499949306,2
1,8,-0,395.457600065507,2
1,6,-8,499.736400026828,1
1,8,-8,531.989399980754,3
1,4,-24,582.06819992885,3
1,6,-8,394.780700033531,2
1,8,-8,447.074299965985,2
1,8,8,396.297299940139,1
1,6,-24,475.716000012122,3
1,8,24,519.457399900071,2
1,4,-24,419.549100039527,3
0,4,-24,-109,2
1,6,-16,635.674999965355,3
1,4,-8,449.661399991252,2
1,8,-8,337.526999934576,2
1,8,16,520.094999982044,3
1,6,-16,473.141399965622,1
1,6,24,571.105099920183,2
1,4,8,340.100599973463,2
1,8,-24,487.225899993442,2
1,4,-16,551.671700024977,1
1,6,0,432.098700021394,2
1,8,24,447.632200023159,2
1,4,-0,509.414200027473,1
1,8,8,612.996600041166,3
1,6,16,484.317399965599,1
1,8,16,719.644499997608,3
1,8,-24,562.339699998498,2
1,6,8,426.957499989308,1
1,6,0,463.289100033231,1
1,8,24,629.37849998381,2
1,8,0,441.197100033984,2
1,6,-0,320.01379999239,2
1,8,16,457.750700003468,3
1,4,-8,483.868599924259,1
1,6,0,537.043399930932,3
1,4,0,529.537800055929,1
1,4,0,339.294200003147,1
1,4,0,293.863300056197,2
0,8,-16,-109,2
1,8,-8,508.614099988714,1
1,6,-24,464.71210004203,3
0,4,-0,-109,3
1,4,24,488.301800036803,1
1,6,8,603.799399974756,2
1,8,8,474.383799996227,2
1,8,-16,546.609400011599,1
1,8,-8,519.904199926183,3
1,4,-24,463.159999981523,3
1,8,-0,531.518200001679,2
1,6,8,522.449899985455,3
1,4,24,774.721899939701,2
1,4,-24,539.251899983734,2
1,8,-16,647.011700024828,2
1,4,-0,585.46400005836,3
