Correct Response,Size (deg),Eccentricity (deg),Reaction Time (ms),Target
1,8,14,1357.99789992999,2
0,6,-21,-109,3
1,6,-14,962.658300003037,1
1,8,7,646.591599969193,2
1,8,-14,611.107499975711,2
1,8,21,531.209999983199,3
1,4,-7,356.52279999014,1
1,8,-21,477.351300007664,1
1,6,21,647.824300042354,1
1,6,-0,348.437899895012,1
0,8,-7,-109,3
1,4,-21,891.730899977498,2
0,6,21,-109,2
1,4,0,375.447599970736,2
1,8,14,547.847700010985,3
1,8,21,597.577499979176,2
1,4,0,372.580900028348,2
1,4,-0,625.405600000173,1
1,6,-21,590.167599901557,2
1,4,14,477.024199961685,1
1,8,-21,536.356700057164,2
1,8,-21,459.177100038156,2
1,6,0,327.128100031056,2
1,6,7,514.727499973029,3
1,4,21,500.11690001376,3
1,4,14,638.666600043885,3
1,8,-7,586.584199973382,1
1,8,21,590.74439998623,2
1,4,-7,350.602800081484,1
0,4,-0,-109,3
1,8,-14,513.68349993974,2
1,8,-0,511.599800022319,1
1,6,7,417.574700023048,2
1,4,-21,583.631799960509,3
1,4,21,1268.30479997117,3
1,8,-14,513.501800069585,3
1,4,21,643.710000029765,1
1,6,-14,764.237599967979,2
1,8,-7,506.787999937311,1
1,4,-14,536.372199942358,1
1,6,21,549.000100054778,2
1,6,-14,570.908400052227,3
1,6,21,723.892599981278,3
1,4,0,569.147899918258,3
1,6,-7,463.943600011058,1
1,8,0,593.094600070268,3
1,8,-21,569.244600072503,1
1,4,21,565.100499949418,1
1,6,-21,536.492400042713,1
1,6,-7,760.704799959436,2
1,4,7,435.750400003977,3
1,4,7,438.209799988195,1
1,6,0,721.104899941944,2
1,8,21,380.447200088762,3
1,4,14,392.609899918549,1
1,8,21,561.60810001567,3
1,6,-0,297.873299973086,2
1,8,0,448.980700046755,1
1,6,0,273.690600003116,2
0,8,-14,-109,2
1,6,-21,407.88639994245,2
1,4,-7,496.804200051352,1
1,4,21,510.501000037417,3
1,8,-0,481.196100063622,1
1,4,-7,488.057400038466,1
1,6,-7,555.415500010364,3
1,4,7,1242.35269991588,2
1,8,-7,736.797499991022,2
1,8,14,442.133899949491,2
1,8,14,389.523299931549,2
1,6,21,474.974899956957,3
1,8,7,430.01860001497,3
1,4,-14,317.048299996182,1
1,8,-0,725.101700107567,2
1,8,-7,490.517400027253,2
1,8,-14,543.266700053588,3
1,6,-14,1366.13739997521,2
1,6,14,621.905999895185,1
1,6,0,664.472400032915,2
1,6,-7,913.211900097318,1
1,6,-14,402.917999945581,1
1,8,-0,570.834599955939,3
1,6,7,590.451600085013,3
1,4,0,512.160399983637,3
1,6,-0,523.192800054327,1
1,4,-14,601.446299985051,2
1,6,14,510.474699953571,2
1,6,14,462.345100062899,3
1,6,-21,704.912200042978,2
1,8,0,532.76300005056,1
1,4,-0,538.161000058986,2
1,6,14,635.246399961412,3
1,4,-7,742.349300006405,3
1,4,-21,470.085199977271,1
1,8,0,759.558299960569,1
1,6,7,673.011699979194,2
1,8,7,414.015100043267,1
1,4,-0,578.379200011492,1
1,6,-0,546.981300049461,1
1,6,0,390.954300001264,1
1,6,-7,665.905199999921,3
1,8,7,497.493800063618,3
1,4,-21,612.4030000614,3
1,6,7,383.621399927884,3
1,4,14,692.79090006277,2
1,8,7,324.845999999903,1
1,8,-0,429.275900064036,1
1,8,14,452.722200014628,1
1,8,-21,550.001499996521,3
1,6,-0,590.969600071199,1
1,4,-0,433.693299939856,2
1,4,-14,409.334400025196,3
1,4,-21,666.904799927957,2
1,4,7,371.768700013869,2
1,6,14,432.980999987572,3
1,4,14,825.573099948466,2
1,4,0,418.086700079963,2
0,4,7,-109,1
1,8,0,604.512499933131,3
1,4,-14,615.137300043367,2
1,6,-21,750.618399990723,3
1,8,-7,473.234099972993,3
1,6,21,617.360200089402,2
1,4,-0,599.630900015123,3
1,8,-14,1489.03930006456,2
1,4,7,733.103699920699,1
