Var1,Size (deg),Eccentricity (deg),Var3,Var4,Var5,Var6
420.69,-1,-1,10000,-1,605646468,1674593232.65776
420.69,8, 0,10000,1,605662937,1674593249.12862
420.69,8, 0,10000,2,605679546,1674593265.74851
420.69,8, 0,10000,3,605692109,1674593278.31149
1,8, 8,679.840799941681,1,605755781,1674593341.98105
1,4, 16,829.710600021295,1,605760328,1674593346.53162
1,4, -24,889.813999933191,1,605764906,1674593351.09766
0,6, 16,1087.40190002974,3,605769765,1674593355.96445
1,6, 24,910.432500004768,2,605774546,1674593360.74855
1,8, -8,661.016700029373,3,605779343,1674593365.53465
1,8, 8,788.117600077763,1,605784109,1674593370.304
1,6, -24,660.495100015774,2,605788281,1674593374.47195
1,6, -16,614.055400070734,3,605792890,1674593379.0939
1,6, -8,774.81439994555,1,605796875,1674593383.06867
0,4, 24,710.851600099355,1,605801515,1674593387.70906
1,6, 8,751.095600015484,1,605805812,1674593392.00433
1,4, 8,609.520599999465,3,605810312,1674593396.5149
1,8, -8,494.239699965343,1,605815015,1674593401.20969
1,8, 24,625.597499947995,3,605819187,1674593405.38611
1,4, -8,757.449800087139,3,605823390,1674593409.58268
0,6, 24,937.68600007426,2,605828218,1674593414.40984
1,4, 0,794.313899994828,1,605832953,1674593419.14589
1,8, 16,694.832900011912,1,605837718,1674593423.90903
0,4, 24,764.718500020914,2,605842156,1674593428.35938
1,6, -24,796.245400033891,2,605847125,1674593433.31938
1,8, 16,622.652799993753,2,605851171,1674593437.37339
0,6, 24,697.784100015648,1,605855453,1674593441.64228
1,6, 24,741.960900075734,3,605859640,1674593445.83821
0,4, 16,617.105600013398,1,605863750,1674593449.95243
1,6, -16,627.654500011355,3,605868640,1674593454.83246
1,4, -8,928.652399973013,1,605873437,1674593459.63493
1,6, 0,477.732900002971,2,605878640,1674593464.82995
1,8, -8,473.213500048965,2,605882671,1674593468.87398
1,6, 0,595.494600067846,1,605887031,1674593473.2244
0,8, 16,741.706700002775,1,605891484,1674593477.67829
0,6, 8,1097.11079991795,1,605896312,1674593482.51498
0,4, 24,1042.50419995189,2,605901609,1674593487.80174
