Var1,Size (deg),Eccentricity (deg),Var3,Var4,Var5,Var6
1,4, 8,643.344399996218,6,95660203,1674595941.91025
1,6, 24,765.054300002172,6,95664578,1674595946.28578
1,8, 8,553.466199995833,6,95669578,1674595951.28778
1,4, -8,601.548399991239,4,95674093,1674595955.79227
1,4, 8,638.223099999246,5,95679046,1674595960.74522
0,6, 16,614.892999987584,4,95684250,1674595965.95396
1,8, -8,579.078200008022,4,95688546,1674595970.24296
1,4, -24,807.994700004579,6,95692984,1674595974.68096
1,8, -24,657.292499989504,5,95697890,1674595979.59996
1,8, -8,645.479400013224,5,95702468,1674595984.17696
0,8, -24,1033.29809999233,4,95707140,1674595988.84596
1,6, 16,499.443999997689,5,95712734,1674595994.44296
1,8, 24,550.640500001842,5,95716968,1674595998.67396
1,6, 0,490.674099998083,5,95721234,1674596002.941
1,8, 16,614.624499994912,6,95725656,1674596007.361
1,8, 16,688.66299999028,5,95730406,1674596012.11
1,8, 0,515.8695999966,5,95735109,1674596016.819
1,4, 24,623.294000001275,5,95739781,1674596021.48001
1,6, -16,831.478300006362,4,95745031,1674596026.728
1,4, 0,948.611099997303,4,95750265,1674596031.972
1,8, -24,639.909200003254,5,95754843,1674596036.542
0,4, -8,890.938900000416,5,95759109,1674596040.81
1,4, 16,695.14780000865,4,95764187,1674596045.896
1,6, 0,469.58309999574,5,95769203,1674596050.912
1,6, 24,1002.1310999986,4,95773500,1674596055.196
1,4, -24,696.71119999513,5,95778765,1674596060.463
1,4, -8,621.295799992746,4,95783968,1674596065.67283
1,6, -24,932.141699999571,6,95788718,1674596070.41591
1,4, 16,1026.65179999568,6,95794265,1674596075.97134
1,6, 16,558.090500006452,6,95799250,1674596080.95113
1,4, -16,534.765199987683,5,95803421,1674596085.11826
1,6, 8,768.170199993998,5,95807656,1674596089.36526
