CorrectResponse,Size_deg_,Eccentricity_deg_,ReactionTime_ms_,Target,CPUUptime,UTCTime
0,4,-15,-109,2,1274140,1677108512.44293
0,2,-15,-109,2,1288187,1677108526.4962
1,8,-15,756.653100000145,2,1302937,1677108541.24442
1,4,-15,654.824699999986,2,1307515,1677108545.81785
1,8,-15,482.857300000129,1,1315828,1677108554.13837
1,2,-15,701.171500000024,2,1329593,1677108567.91038
1,4,-15,1198.97919999986,3,1380796,1677108619.10677
1,2,-15,607.239399999949,1,1409953,1677108648.26671
1,2,-15,449.92330000006,1,1414421,1677108652.73975
1,8,-15,933.196999999987,5,1570140,1677108808.44669
1,2,-15,1137.17739999985,4,1612156,1677108850.46529
1,8,-15,758.981500000042,6,1632046,1677108870.35495
1,4,-15,655.608399999815,5,1641703,1677108880.00995
1,4,-15,672.913400000121,6,1692187,1677108930.49059
