CueShowTime,ObjShowTime,ReactionTime,Scale,StimType,Guess,Correct
1683584680070,1683584681250,1683584682150,8,Face3,Face3,True
1683584682654,1683584684030,1683584684636,8,Face2,Face2,True
1683584685139,1683584686717,1683584687342,8,Face2,Face2,True
1683584687855,1683584688709,1683584689154,8,Face2,Face2,True
1683584689663,1683584690440,1683584691079,8,Face1,Face1,True
1683584691584,1683584692433,1683584692859,8,Face2,Face2,True
1683584693363,1683584694670,1683584695077,8,Face2,Face2,True
1683584695584,1683584697145,1683584697717,8,Face3,Face3,True
1683584698228,1683584699103,1683584699765,8,Face2,Face2,True
1683584700277,1683584701388,1683584702017,8,Face2,Face2,True
1683584702529,1683584703386,1683584703810,8,Face2,Face2,True
1683584704323,1683584706029,1683584706731,8,Face3,Face3,True
1683584707242,1683584708242,1683584708871,8,Face1,Face1,True
1683584709381,1683584710168,1683584710739,8,Face3,Face3,True
1683584711250,1683584712307,1683584713062,8,Face3,Face3,True
1683584713574,1683584714429,1683584715038,8,Face2,Face2,True
1683584715551,1683584716827,1683584717419,8,Face3,Face3,True
1683584717925,1683584719275,1683584719826,8,Face2,Face2,True
1683584720339,1683584721889,1683584722387,8,Face2,Face2,True
1683584722897,1683584723681,1683584724250,8,Face2,Face2,True
1683584724763,1683584725623,1683584726266,8,Face3,Face3,True
1683584726778,1683584727512,1683584727988,8,Face2,Face2,True
1683584728499,1683584729886,1683584730456,8,Face1,Face1,True
1683584730967,1683584731954,1683584732689,8,Face3,Face2,False
1683584733202,1683584734733,1683584735544,8,Face3,Face3,True
1683584736051,1683584736888,1683584737552,8,Face1,Face1,True
1683584738065,1683584739631,1683584740279,8,Face1,Face1,True
1683584740787,1683584741940,1683584742733,8,Face3,Face3,True
1683584743246,1683584744848,1683584745455,8,Face1,Face1,True
1683584745965,1683584746892,1683584747558,8,Face2,Face2,True
1683584748066,1683584749395,1683584750062,8,Face2,Face2,True
