CueShowTime,ObjShowTime,ReactionTime,Scale,StimType,Guess,Correct
1683585278778,1683585280350,1683585281094,8,Face3,Face2,False
1683585281601,1683585282908,1683585283512,8,Face1,Face1,True
1683585284017,1683585285158,1683585285779,8,Face3,Face1,False
1683585286287,1683585287143,1683585287785,8,Face1,Face1,True
1683585288294,1683585289807,1683585290545,8,Face3,Face2,False
1683585291061,1683585292027,1683585292725,8,Face2,Face2,True
1683585293236,1683585294592,1683585295361,8,Face3,Face1,False
1683585295871,1683585297015,1683585297606,8,Face1,Face1,True
1683585298119,1683585299216,1683585299914,8,Face1,Face2,False
1683585300426,1683585301172,1683585301855,8,Face3,Face3,True
1683585302366,1683585303114,1683585303723,8,Face2,Face2,True
1683585304234,1683585305548,1683585306138,8,Face2,Face2,True
1683585306652,1683585307763,1683585308448,8,Face3,Face3,True
1683585308959,1683585310093,1683585310813,8,Face1,Face1,True
1683585311325,1683585312659,1683585313267,8,Face3,Face1,False
1683585313780,1683585315404,1683585316014,8,Face1,Face1,True
1683585316521,1683585317347,1683585317990,8,Face3,Face3,True
1683585318500,1683585319579,1683585320187,8,Face3,Face3,True
1683585320700,1683585322049,1683585322641,8,Face2,Face2,True
1683585323148,1683585324702,1683585325276,8,Face1,Face1,True
1683585325785,1683585327358,1683585327894,8,Face2,Face2,True
1683585328406,1683585329888,1683585330372,8,Face2,Face2,True
1683585330884,1683585331941,1683585332498,8,Face3,Face1,False
1683585333007,1683585334359,1683585335078,8,Face2,Face2,True
1683585335591,1683585336997,1683585337700,8,Face1,Face1,True
1683585338212,1683585339435,1683585340060,8,Face3,Face3,True
1683585340573,1683585341525,1683585342136,8,Face3,Face3,True
1683585342645,1683585343374,1683585344019,8,Face2,Face2,True
1683585344529,1683585345849,1683585346348,8,Face2,Face2,True
1683585346862,1683585348382,1683585349029,8,Face3,Face3,True
1683585349545,1683585351102,1683585351715,8,Face1,Face1,True
1683585352230,1683585353697,1683585354313,8,Face1,Face3,False
1683585354828,1683585355929,1683585356522,8,Face2,Face2,True
1683585357036,1683585357953,1683585358563,8,Face2,Face2,True
1683585359079,1683585360255,1683585360872,8,Face1,Face1,True
1683585361380,1683585362734,1683585363295,8,Face2,Face2,True
1683585363807,1683585365439,1683585366015,8,Face2,Face2,True
1683585366526,1683585367348,1683585367942,8,Face2,Face2,True
